,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,outside of CI mean,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
31b539bbc0f9bc2cc086a49ce7195403,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Chloroflexi,Anaerolineae,SJA-15,SJA-15,NA,NA
31c70d8a69f4600aa0b0571fc11e288e,4.89E-06,0.007334963,0.000260706,4.06E-06,0.016472309,0.004,0.118,1.746,6.32E+01,9.03E-04,neutral,d__Bacteria,Bdellovibrionota,Oligoflexia,Unclassified Oligoflexia,Unclassified Oligoflexia,NA,NA
404b1de2d2940f8cfcee10f5473e2c18,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,NA,NA
4301b3fa5c085b170518db938fcaeb3b,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,NA,NA
6b462492a9af11a17ef3d4e8b2993ec3,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,NA
6c7d812bb777e0a6f86e70e4e78783d7,4.89E-06,0.004889976,0.000260706,4.06E-06,0.016472309,0.004,0.118,1.164,1.94E+02,3.35E-03,neutral,d__Bacteria,Planctomycetota,Phycisphaerae,MSBL9,ST-NAGAB-D1,NA,NA
a3c9d513ef52a679fdd96d6630624837,4.89E-06,0.007334963,0.000260706,4.06E-06,0.016472309,0.004,0.118,1.746,6.32E+01,9.03E-04,neutral,d__Bacteria,Elusimicrobiota,Rs-M47,Rs-M47,Rs-M47,NA,NA
b90b3761b82113f6b996dbd1013f7610,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinales,NA,NA
d8af9431a4e532236b7cf1091746192d,4.89E-06,0.007334963,0.000260706,4.06E-06,0.016472309,0.004,0.118,1.746,6.32E+01,9.03E-04,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unclassified Rhodospirillales,NA,NA
ebc2c66aea1eb9c39564c6d8ae7d1489,4.89E-06,0.002444988,0.000260706,4.06E-06,0.016472309,0.004,0.118,0.582,4.49E+02,5.79E-03,neutral,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Unclassified Verrucomicrobiae,Unclassified Verrucomicrobiae,NA,NA
33dfef3a2e3927e9ff0bd3d455f4dc6d,6.11E-06,0.004889976,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.155,1.97E+02,3.41E-03,neutral,d__Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA
45fc35b38ed9a583b432dc1e9d8b23d5,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,FCPU426,FCPU426,FCPU426,FCPU426,NA,NA
4dafc7a50287da78ac09ea1566410da9,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,NA,NA
5fcc28ea5c1755f815ac054c25008546,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Subgroup_7,NA,NA
c62f325cfd2435d0fff228d944889094,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,NA,NA
c8893658ec08d5fa47eb94d2ead8f795,6.11E-06,0.004889976,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.155,1.97E+02,3.41E-03,neutral,d__Bacteria,Acidobacteriota,Subgroup_18,Subgroup_18,Subgroup_18,NA,NA
d270a49106dbcd8f808f50abbc13ce99,6.11E-06,0.007334963,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.733,6.50E+01,9.67E-04,neutral,d__Bacteria,Planctomycetota,Brocadiae,Brocadiales,Scalinduaceae,NA,NA
