,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
359699d085ce1a7e5a2c53889c830d2c,0.003088235,0.441176471,0.267832283,0.122830688,0.488650918,0.093,1.708,4.727,1.04E-03,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,NA,NA
963e85a1daf2ff70818efddc78996e5d,0.002926471,0.058823529,0.255591549,0.11478041,0.476217082,0.092,1.688,0.638,1.79E+02,below,d__Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,NA,NA
eda0e2dd2ffd140d00706a936f639064,0.002926471,0.029411765,0.255591549,0.11478041,0.476217082,0.092,1.688,0.319,2.55E+02,below,d__Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,BD7-8,NA,NA
7547c34c6b2dedd9830690e7cdcd95ab,0.002808824,0.411764706,0.246573554,0.108939907,0.466966524,0.091,1.672,4.508,2.81E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA
f5a91d9d1a7041775c637cf7cb2807fc,0.002617647,0.382352941,0.231709104,0.099486671,0.451545017,0.090,1.644,4.257,8.41E-03,neutral,d__Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade,NA,NA
b916faf2402ed0d08e4a18dbc0542ce5,0.002485294,0.382352941,0.221264158,0.092978578,0.440574136,0.089,1.623,4.312,6.66E-03,neutral,d__Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,NA,NA
e827747584db4d56210121c591f10609,0.002485294,0.323529412,0.221264158,0.092978578,0.440574136,0.089,1.623,3.649,9.63E-02,neutral,d__Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata,Thermoplasmata,NA,NA
b772d5875eb46f327ec07229e23fac7a,0.002455882,0.088235294,0.218925775,0.091537286,0.438102289,0.088,1.618,0.998,1.08E+02,below,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
e146c4b9f1d0581f28f1bff993d7ee94,0.002441176,0.411764706,0.217754217,0.090817381,0.436861662,0.088,1.616,4.664,1.39E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
161608ba4db802941654855d66c02e49,0.002411765,0.235294118,0.215406356,0.089379111,0.434370931,0.088,1.611,2.674,2.52E+00,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
fc1098e1bcf9e01d7cc19cfcfbdc79eb,0.002294118,0.441176471,0.205951411,0.083648339,0.424279435,0.087,1.590,5.077,1.94E-04,above,d__Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA
a12a9303e04e36e180bf5743b5f6c321,0.002191176,0.411764706,0.197594463,0.078666988,0.415275947,0.086,1.572,4.795,7.54E-04,neutral,d__Bacteria,Planctomycetota,Pla3_lineage,Pla3_lineage,Pla3_lineage,NA,NA
1a9d88d39042f6770154c740c340f89e,0.002176471,0.088235294,0.196394185,0.077958176,0.413976168,0.086,1.569,1.029,1.03E+02,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,NA,NA
851dda934dc87b2989a95b386663b753,0.002044118,0.294117647,0.185518924,0.071614245,0.402121018,0.084,1.543,3.488,1.74E-01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
c432a96c77fd580e11dabc95b093175e,0.002014706,0.264705882,0.183084334,0.070213826,0.399447301,0.084,1.537,3.152,5.61E-01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA,NA
2e4012cc9c7caba8599cd86cfc302160,0.001955882,0.176470588,0.178195559,0.067424184,0.394055878,0.083,1.525,2.118,1.14E+01,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,NA,NA
c8ddd9da275395c79a233c8953f31faf,0.001911765,0.176470588,0.174511775,0.065342314,0.389973162,0.083,1.516,2.131,1.10E+01,neutral,d__Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA,NA
c2ce9a80dd8118dff1c70cc3c6908c5a,0.001897059,0.411764706,0.17328056,0.064650429,0.388604685,0.083,1.513,4.983,3.08E-04,above,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1_aquatic_group,NA,NA
b27be93bbdb0ea937cddc9a1349f35d1,0.001867647,0.264705882,0.170813192,0.063269885,0.38585624,0.082,1.506,3.217,4.51E-01,neutral,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,NA,NA
9865bf20f7ca7edd68fcfac6eca115eb,0.001808824,0.088235294,0.165858644,0.060522256,0.380312738,0.082,1.493,1.082,9.48E+01,neutral,d__Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
866076c03216ed7e5a063d3079c2f3c4,0.001764706,0.088235294,0.162125343,0.058473968,0.376113577,0.081,1.483,1.089,9.37E+01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA,NA
292bc157025b06026c68c8ebb2237f7d,0.001720588,0.352941176,0.158377082,0.056436993,0.371878067,0.080,1.473,4.386,4.83E-03,neutral,d__Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,NA,NA
f22c734b10ac7658220de2ef6dd31472,0.001676471,0.382352941,0.154613812,0.054411954,0.367605504,0.080,1.462,4.786,7.89E-04,above,d__Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,NA,NA
c863c4a2ccb1351d126fc6f361825412,0.001676471,0.323529412,0.154613812,0.054411954,0.367605504,0.080,1.462,4.049,2.00E-02,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
902dcd84e2b266ce969ae3de54d5b1cf,0.001544118,0.235294118,0.143233461,0.048415172,0.35455797,0.078,1.429,3.013,8.85E-01,neutral,d__Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,NA,NA
363c6ce8e7a2701e6139778d0ba96187,0.001514706,0.382352941,0.140685958,0.047099884,0.351610168,0.078,1.422,4.922,4.12E-04,above,d__Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA,NA
9bdc593d834239373d4c90268160fe0e,0.001514706,0.382352941,0.140685958,0.047099884,0.351610168,0.078,1.422,4.922,4.12E-04,above,d__Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,NA,NA
a1b92dbc66d4fc27314b68b2e3897a39,0.0015,0.176470588,0.139409668,0.046444774,0.350129485,0.077,1.418,2.278,7.56E+00,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
9365e40b049f3a846bc0e963bce26359,0.001470588,0.352941176,0.136852002,0.045139777,0.347154385,0.077,1.410,4.581,2.03E-03,above,d__Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,NA,NA
53b9dc3e3d233682f3bed5303db8a0b5,0.001441176,0.235294118,0.134287542,0.043841951,0.344160745,0.077,1.402,3.071,7.32E-01,neutral,d__Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,NA,NA
a377c01df25d1f4806c4a4f0e0ff20d0,0.001397059,0.294117647,0.130428082,0.041909228,0.339634899,0.076,1.390,3.872,4.07E-02,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,NA,NA
5ef9bf4961baa3a3c46a3cd3af70335b,0.001397059,0.147058824,0.130428082,0.041909228,0.339634899,0.076,1.390,1.936,1.76E+01,neutral,d__Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NA,NA
b49b33d8491275b3514560c7cc2274d6,0.001382353,0.352941176,0.129138182,0.04126886,0.338116699,0.076,1.386,4.661,1.41E-03,above,d__Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA
5df86bd9271bd6085428a3571dd0cf3d,0.001382353,0.147058824,0.129138182,0.04126886,0.338116699,0.076,1.386,1.942,1.73E+01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA,NA
01cb33acab4b8a4f75335dcd75cece89,0.001367647,0.058823529,0.127846574,0.040630487,0.336593645,0.076,1.382,0.779,1.49E+02,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
956f2e88c69ee4fe688c52f8c77364d5,0.001352941,0.235294118,0.126553254,0.039994146,0.335065695,0.075,1.378,3.126,6.11E-01,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1_clade,NA,NA
25ebe079f22207f370bb9aecfa396407,0.001352941,0.029411765,0.126553254,0.039994146,0.335065695,0.075,1.378,0.391,2.38E+02,below,d__Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,NA,NA
dfb2c844741cda632911de05fac6a779,0.001338235,0.058823529,0.125258221,0.039359871,0.333532812,0.075,1.374,0.784,1.48E+02,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,NA,NA
a419e58889ab299b9773fafe2a3084e9,0.001279412,0.117647059,0.120060923,0.036844214,0.327351111,0.074,1.356,1.587,3.76E+01,neutral,d__Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,NA,NA
75c00488b66a4ee9a81c9b0f05814638,0.001264706,0.088235294,0.118757298,0.036220856,0.325792932,0.074,1.352,1.194,7.86E+01,neutral,d__Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
09918e4975ef1114eca99ed981aa3fa4,0.001220588,0.058823529,0.114836071,0.034364781,0.321087075,0.073,1.339,0.804,1.44E+02,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured,NA,NA
9054b3b1d9f8f8fd53b3ee162e64690d,0.001191176,0.235294118,0.112213275,0.033139497,0.317923272,0.073,1.330,3.239,4.18E-01,neutral,d__Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,NA,NA
00f9c6afa4540d882a0259b46a37db5e,0.001176471,0.323529412,0.110899279,0.032530621,0.316333256,0.072,1.325,4.469,3.36E-03,above,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
