"","sampleID","variable","value","compartment","model_fit","trait","conditions","TukeyHSD"
"125","1256-313-P484","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"126","1256-315-P485","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"127","1256-321-P489","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"128","1256-323-P492","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"129","1256-324-P493","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"130","1256-330-P497","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"131","1256-332-P498","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"132","1256-333-P499","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"133","1256-337-P502","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"134","1256-338-P503","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"135","1256-340-P504","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"136","1256-342-P507","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"137","1256-352-P512","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"138","153-PC12","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"139","174-PC22","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"140","176-PC23","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"141","177-PC24","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"142","202-PC27","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"143","204-PC28","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"144","212-PC31","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"145","213-PC32","M_above",0.239052404881551,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"146","214-PC33","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"147","215-PC34","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"148","218-PC37","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"149","219-PC38","M_above",0,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"150","240-C320","M_above",0.545454545454545,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"151","391-C443","M_above",1,"Mucus","Above","Aerobic","Aerobic_M_above","c"
"152","E1.10.Sty.pist.1.20140815","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"153","E1.11.Psa.digi.1.20140807","M_neutral",0.535714285714286,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"154","E1.14.Phy.lich.1.20140811","M_neutral",0.0454545454545455,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"155","E1.15.Dip.heli.1.20140726","M_neutral",0.939968404423381,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"156","E1.15.Dip.heli.1.20140809","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"157","E1.15.Dip.heli.1.20140905","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"158","E1.17.Ech.lame.1.20140905","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"159","E1.17.Fav.sp.2.20140805","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"160","E1.17.Hyd.exes.1.20140803","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"161","E1.19.Lob.sp.1.20140730","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"162","E1.19.Lob.sp.1.20140809","M_neutral",0.448186528497409,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"163","E1.19.Sym.sp.1.20140724","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"164","E1.19.Sym.sp.1.20140814","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"165","E1.2.Tur.pelt.1.20140814","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"166","E1.2.Tur.reni.1.20140814","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"167","E1.3.Por.cyli.1.20140815","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"168","E1.4.Pac.rugo.1.20140728","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"169","E1.4.Pac.rugo.1.20140814","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"170","E1.4.Pac.spec.1.20140811","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"171","E1.5.Gal.astr.1.20140814","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"172","E1.5.Gal.astr.1.20140905","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"173","E1.6.Acr.humi.1.20140731","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"174","E1.7.Pav.sp.1.20140905","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"175","E1.7.Pav.vari.1.20140805","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"176","E1.7.Pav.veno.1.20140809","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"177","E10.10.Sty.pist.1.20150630","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"178","E10.10.Sty.pist.2.20150630","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"179","E10.17.Fav.abdi.1.20150630","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"180","E10.17.Fav.abdi.2.20150630","M_neutral",0.889140271493213,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"181","E10.17.Gon.favu.1.20150629","M_neutral",0.89873417721519,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"182","E10.17.Gon.favu.1.20150630","M_neutral",0.854897218863362,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"183","E10.17.Gon.favu.2.20150630","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"184","E10.17.Mon.curt.3.20150629","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"185","E10.Aca.hill.1.20150629","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"186","E10.Aca.hill.2.20150629","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"187","E10.Aca.hill.3.20150629","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"188","E10.Acr.cyth.1.20150627","M_neutral",0.457364341085271,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"189","E10.Acr.cyth.2.20150627","M_neutral",0.32751677852349,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"190","E10.Acr.cyth.3.20150627","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"191","E10.Acr.pali.1.20150627","M_neutral",0.849315068493151,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
