"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E3","Galaxea astreata","below","Tissue","E3.5.Gal.astr.2.20150124.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.1.20150106.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.1.20150118.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.1.20150121.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.1.20150123.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.2.20150105.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.2.20150106.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.2.20150120.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.2.20150123.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.3.20150105.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.3.20150106.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.3.20150120.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.3.20150121.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.3.20150123.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.4.20150105.T_below","Tissue_below"
"E3","Acropora hyacinthus","below","Tissue","E3.6.Acr.hyac.4.20150106.T_below","Tissue_below"
"E3","Pavona varians","below","Tissue","E3.7.Pav.vari.1.20150124.T_below","Tissue_below"
"E3","Pavona varians","below","Tissue","E3.7.Pav.vari.1.20150127.T_below","Tissue_below"
"E3","Pavona varians","below","Tissue","E3.7.Pav.vari.2.20150124.T_below","Tissue_below"
"E7","Echinopora lamellosa","below","Tissue","E7.17.Ech.lame.1.20150620.T_below","Tissue_below"
"E7","Echinopora lamellosa","below","Tissue","E7.17.Ech.lame.2.20150620.T_below","Tissue_below"
"E7","Echinopora lamellosa","below","Tissue","E7.17.Ech.lame.3.20150620.T_below","Tissue_below"
"E7","Favites abdita","below","Tissue","E7.17.Fav.abdi.1.20150623.T_below","Tissue_below"
"E7","Dipsastraea sp_A","below","Tissue","E7.17.Fav.spA.1.20150623.T_below","Tissue_below"
"E7","Dipsastraea sp_A","below","Tissue","E7.17.Fav.spA.2.20150623.T_below","Tissue_below"
"E7","Dipsastraea sp_C","below","Tissue","E7.17.Fav.spC.1.20150623.T_below","Tissue_below"
"E7","Goniastrea edwardsi","below","Tissue","E7.17.Gon.edwa.1.20150623.T_below","Tissue_below"
"E7","Goniastrea edwardsi","below","Tissue","E7.17.Gon.edwa.2.20150623.T_below","Tissue_below"
"E7","Hydnophora exesa","below","Tissue","E7.17.Hyd.exce.1.20150620.T_below","Tissue_below"
"E7","Hydnophora exesa","below","Tissue","E7.17.Hyd.exes.1.20150622.T_below","Tissue_below"
"E7","Hydnophora exesa","below","Tissue","E7.17.Hyd.exes.2.20150622.T_below","Tissue_below"
"E7","Merulina ampliata","below","Tissue","E7.17.Mer.ampl.1.20150621.T_below","Tissue_below"
"E7","Merulina ampliata","below","Tissue","E7.17.Mer.ampl.2.20150621.T_below","Tissue_below"
"E7","Merulina ampliata","below","Tissue","E7.17.Mer.ampl.3.20150621.T_below","Tissue_below"
"E7","Echinophyllia aspera","below","Tissue","E7.17.Myc.elep.1.20150622.T_below","Tissue_below"
"E7","Platygyra sinensis","below","Tissue","E7.17.Pla.sine.1.20150622.T_below","Tissue_below"
"E7","Platygyra sinensis","below","Tissue","E7.17.Pla.sine.2.20150622.T_below","Tissue_below"
"E7","Platygyra sinensis","below","Tissue","E7.17.Pla.sine.3.20150622.T_below","Tissue_below"
"E7","Lobophyllia hemprichii","below","Tissue","E7.19.Lob.hemp.1.20150619.T_below","Tissue_below"
"E7","Lobophyllia hemprichii","below","Tissue","E7.19.Lob.hemp.1.20150621.T_below","Tissue_below"
"E7","Lobophyllia hemprichii","below","Tissue","E7.19.Lob.hemp.2.20150619.T_below","Tissue_below"
"E7","Porites lobata","below","Tissue","E7.3.Por.loba.1.20150619.T_below","Tissue_below"
"E7","Porites lobata","below","Tissue","E7.3.Por.loba.2.20150619.T_below","Tissue_below"
"E7","Porites lobata","below","Tissue","E7.3.Por.loba.4.20150619.T_below","Tissue_below"
"E7","Galaxea astreata","below","Tissue","E7.5.Gal.astr.1.20150622.T_below","Tissue_below"
"E7","Galaxea fascicularis","below","Tissue","E7.5.Gal.fasc.1.20150621.T_below","Tissue_below"
"E7","Galaxea fascicularis","below","Tissue","E7.5.Gal.fasc.1.20150622.T_below","Tissue_below"
"E7","Acropora hyacinthus","below","Tissue","E7.6.Acr.hyac.1.20150622.T_below","Tissue_below"
"E7","Acropora hyacinthus","below","Tissue","E7.6.Acr.hyac.2.20150622.T_below","Tissue_below"
"E7","Acropora hyacinthus","below","Tissue","E7.6.Acr.hyac.3.20150622.T_below","Tissue_below"
"E7","Montipora aequituberculata","below","Tissue","E7.6.Mon.aequ.1.20150620.T_below","Tissue_below"
"E7","Montipora aequituberculata","below","Tissue","E7.6.Mon.aequ.2.20150620.T_below","Tissue_below"
"E7","Montipora aequituberculata","below","Tissue","E7.6.Mon.aequ.3.20150620.T_below","Tissue_below"
"E7","Montipora aequituberculata","below","Tissue","E7.6.Mon.aequ.4.20150620.T_below","Tissue_below"
"E7","Pavona varians","below","Tissue","E7.7.Pav.vari.1.20150623.T_below","Tissue_below"
"E7","Pavona varians","below","Tissue","E7.7.Pav.vari.2.20150622.T_below","Tissue_below"
