SampleId,model,compartment
neutral_E3.14.Phy.lich.2.20150125.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150105.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150106.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150118.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150119.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150120.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150121.S,neutral,Skeleton
neutral_E3.15.Dip.heli.1.20150123.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150105.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150106.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150119.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150120.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150121.S,neutral,Skeleton
neutral_E3.15.Dip.heli.2.20150123.S,neutral,Skeleton
neutral_E3.15.Dip.heli.3.20150105.S,neutral,Skeleton
neutral_E3.15.Dip.heli.3.20150106.S,neutral,Skeleton
neutral_E3.15.Dip.heli.3.20150120.S,neutral,Skeleton
neutral_E3.15.Dip.heli.3.20150121.S,neutral,Skeleton
neutral_E3.15.Dip.heli.3.20150123.S,neutral,Skeleton
neutral_E3.15.Dip.heli.4.20150105.S,neutral,Skeleton
neutral_E3.15.Dip.heli.4.20150106.S,neutral,Skeleton
neutral_E3.17.Ech.horr.1.20150123.S,neutral,Skeleton
neutral_E3.17.Ech.mamm.1.20150123.S,neutral,Skeleton
neutral_E3.19.Sym.sp.1.20150125.S,neutral,Skeleton
neutral_E3.19.Sym.sp.2.20150125.S,neutral,Skeleton
neutral_E3.2.Tur.reni.1.20150127.S,neutral,Skeleton
neutral_E3.3.Por.cyli.1.20150123.S,neutral,Skeleton
neutral_E3.3.Por.cyli.1.20150127.S,neutral,Skeleton
neutral_E3.3.Por.cyli.2.20150123.S,neutral,Skeleton
neutral_E3.4.Pac.rugo.1.20150127.S,neutral,Skeleton
neutral_E3.4.Pac.rugo.1.20150128.S,neutral,Skeleton
neutral_E3.4.Pac.spec.1.20150128.S,neutral,Skeleton
neutral_E3.4.Pac.spec.1.20150129.S,neutral,Skeleton
neutral_E3.5.Gal.astr.1.20150124.S,neutral,Skeleton
neutral_E3.5.Gal.astr.2.20150124.S,neutral,Skeleton
neutral_E3.5.Gal.astr.2.20150127.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150105.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150106.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150118.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150120.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150121.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.1.20150123.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.2.20150105.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.2.20150106.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.2.20150120.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.2.20150121.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.2.20150123.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.3.20150105.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.3.20150120.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.3.20150121.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.3.20150123.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.4.20150105.S,neutral,Skeleton
neutral_E3.6.Acr.hyac.4.20150106.S,neutral,Skeleton
neutral_E3.7.Pav.vari.1.20150124.S,neutral,Skeleton
neutral_E3.7.Pav.vari.1.20150127.S,neutral,Skeleton
neutral_E3.7.Pav.vari.2.20150124.S,neutral,Skeleton
neutral_E7.10.Poc.dami.2.20150621.S,neutral,Skeleton
neutral_E7.10.Poc.dami.3.20150621.S,neutral,Skeleton
neutral_E7.10.Ser.cali.1.20150622.S,neutral,Skeleton
neutral_E7.10.Ser.cali.2.20150622.S,neutral,Skeleton
neutral_E7.10.Ser.cali.3.20150622.S,neutral,Skeleton
neutral_E7.17.Cyp.micr.1.20150621.S,neutral,Skeleton
neutral_E7.17.Cyp.micr.2.20150621.S,neutral,Skeleton
neutral_E7.17.Cyp.micr.3.20150621.S,neutral,Skeleton
neutral_E7.17.Ech.lame.1.20150620.S,neutral,Skeleton
neutral_E7.17.Ech.lame.2.20150620.S,neutral,Skeleton
neutral_E7.17.Ech.lame.3.20150620.S,neutral,Skeleton
neutral_E7.17.Fav.abdi.1.20150623.S,neutral,Skeleton
neutral_E7.17.Fav.spA.1.20150623.S,neutral,Skeleton
neutral_E7.17.Fav.spA.2.20150623.S,neutral,Skeleton
