"expedition_number","host_scientific_name","model","compartment","pseudo_sampleID","compartment_neutrality"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.1.20150123.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.2.20150105.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.2.20150106.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.2.20150120.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.2.20150121.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.2.20150123.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.3.20150105.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.3.20150120.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.3.20150121.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.3.20150123.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.4.20150105.S_below","Skeleton_below"
"E3","Acropora hyacinthus","below","Skeleton","E3.6.Acr.hyac.4.20150106.S_below","Skeleton_below"
"E3","Pavona varians","below","Skeleton","E3.7.Pav.vari.1.20150124.S_below","Skeleton_below"
"E3","Pavona varians","below","Skeleton","E3.7.Pav.vari.1.20150127.S_below","Skeleton_below"
"E3","Pavona varians","below","Skeleton","E3.7.Pav.vari.2.20150124.S_below","Skeleton_below"
"E7","Pocillopora damicornis","below","Skeleton","E7.10.Poc.dami.2.20150621.S_below","Skeleton_below"
"E7","Pocillopora damicornis","below","Skeleton","E7.10.Poc.dami.3.20150621.S_below","Skeleton_below"
"E7","Seriatopora hystrix","below","Skeleton","E7.10.Ser.cali.1.20150622.S_below","Skeleton_below"
"E7","Seriatopora hystrix","below","Skeleton","E7.10.Ser.cali.2.20150622.S_below","Skeleton_below"
"E7","Seriatopora hystrix","below","Skeleton","E7.10.Ser.cali.3.20150622.S_below","Skeleton_below"
"E7","Cyphastrea microphthalma","below","Skeleton","E7.17.Cyp.micr.1.20150621.S_below","Skeleton_below"
"E7","Cyphastrea microphthalma","below","Skeleton","E7.17.Cyp.micr.2.20150621.S_below","Skeleton_below"
"E7","Cyphastrea microphthalma","below","Skeleton","E7.17.Cyp.micr.3.20150621.S_below","Skeleton_below"
"E7","Echinopora lamellosa","below","Skeleton","E7.17.Ech.lame.1.20150620.S_below","Skeleton_below"
"E7","Echinopora lamellosa","below","Skeleton","E7.17.Ech.lame.2.20150620.S_below","Skeleton_below"
"E7","Echinopora lamellosa","below","Skeleton","E7.17.Ech.lame.3.20150620.S_below","Skeleton_below"
"E7","Favites abdita","below","Skeleton","E7.17.Fav.abdi.1.20150623.S_below","Skeleton_below"
"E7","Dipsastraea sp_A","below","Skeleton","E7.17.Fav.spA.1.20150623.S_below","Skeleton_below"
"E7","Dipsastraea sp_A","below","Skeleton","E7.17.Fav.spA.2.20150623.S_below","Skeleton_below"
"E7","Dipsastraea sp_B","below","Skeleton","E7.17.Fav.spB.1.20150623.S_below","Skeleton_below"
"E7","Dipsastraea sp_C","below","Skeleton","E7.17.Fav.spC.1.20150623.S_below","Skeleton_below"
"E7","Goniastrea edwardsi","below","Skeleton","E7.17.Gon.edwa.1.20150623.S_below","Skeleton_below"
"E7","Hydnophora exesa","below","Skeleton","E7.17.Hyd.exce.1.20150620.S_below","Skeleton_below"
"E7","Hydnophora exesa","below","Skeleton","E7.17.Hyd.exes.2.20150622.S_below","Skeleton_below"
"E7","Echinophyllia aspera","below","Skeleton","E7.17.Myc.elep.1.20150622.S_below","Skeleton_below"
"E7","Platygyra sinensis","below","Skeleton","E7.17.Pla.sine.1.20150622.S_below","Skeleton_below"
"E7","Platygyra sinensis","below","Skeleton","E7.17.Pla.sine.2.20150622.S_below","Skeleton_below"
"E7","Platygyra sinensis","below","Skeleton","E7.17.Pla.sine.3.20150622.S_below","Skeleton_below"
"E7","Lobophyllia hemprichii","below","Skeleton","E7.19.Lob.hemp.1.20150619.S_below","Skeleton_below"
"E7","Lobophyllia hemprichii","below","Skeleton","E7.19.Lob.hemp.1.20150621.S_below","Skeleton_below"
"E7","Lobophyllia hemprichii","below","Skeleton","E7.19.Lob.hemp.2.20150619.S_below","Skeleton_below"
"E7","Porites lobata","below","Skeleton","E7.3.Por.loba.1.20150619.S_below","Skeleton_below"
"E7","Porites lobata","below","Skeleton","E7.3.Por.loba.2.20150619.S_below","Skeleton_below"
"E7","Porites lobata","below","Skeleton","E7.3.Por.loba.3.20150619.S_below","Skeleton_below"
"E7","Porites lobata","below","Skeleton","E7.3.Por.loba.4.20150619.S_below","Skeleton_below"
"E7","Galaxea astreata","below","Skeleton","E7.5.Gal.astr.1.20150622.S_below","Skeleton_below"
"E7","Galaxea fascicularis","below","Skeleton","E7.5.Gal.fasc.1.20150621.S_below","Skeleton_below"
"E7","Galaxea fascicularis","below","Skeleton","E7.5.Gal.fasc.1.20150622.S_below","Skeleton_below"
"E7","Acropora hyacinthus","below","Skeleton","E7.6.Acr.hyac.1.20150622.S_below","Skeleton_below"
"E7","Acropora hyacinthus","below","Skeleton","E7.6.Acr.hyac.2.20150622.S_below","Skeleton_below"
"E7","Acropora hyacinthus","below","Skeleton","E7.6.Acr.hyac.3.20150622.S_below","Skeleton_below"
"E7","Montipora aequituberculata","below","Skeleton","E7.6.Mon.aequ.1.20150620.S_below","Skeleton_below"
"E7","Montipora aequituberculata","below","Skeleton","E7.6.Mon.aequ.2.20150620.S_below","Skeleton_below"
"E7","Montipora aequituberculata","below","Skeleton","E7.6.Mon.aequ.3.20150620.S_below","Skeleton_below"
"E7","Montipora aequituberculata","below","Skeleton","E7.6.Mon.aequ.4.20150620.S_below","Skeleton_below"
"E7","Pavona varians","below","Skeleton","E7.7.Pav.vari.1.20150623.S_below","Skeleton_below"
"E7","Pavona varians","below","Skeleton","E7.7.Pav.vari.2.20150622.S_below","Skeleton_below"
