"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"d7d6bee2dd9fed3896f136f0d3685bd5","d__Bacteria","Planctomycetota","Brocadiae","Brocadiales","Scalinduaceae","Candidatus_Scalindua","Unclassified  Candidatus_Scalindua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"a31be3b4327329651215f8690a98d160","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_11","Unclassified  Clostridium_sensu_stricto_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"44075a212feb3e1dbc88f4cf4829f317","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"fd488a1219b42d2e7e9cea6f3fc423e9","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b73d3e8f23c4bb8d50f3f0ed9ac2d70","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2c10c8f934b71d7bfe960053909df110","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25087acce0c80bf8d5911d2b5e21d865","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"450318f01d8f5111c99979dff0fea3ab","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bbeb5b7db569a962af659ff5ec0e31d8","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Clostridium_sensu_stricto_1 uncultured_bacterium",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1ff5758ddd73512843979c3c41fb9c0d","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1","Unclassified  Clostridium_sensu_stricto_1",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ff9e5bd023dd19bca0d8312f047ebebd","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fead4c0676f3c6286d2ce28c425a17b6","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unclassified Clostridiaceae","Unclassified Clostridiaceae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cab0cc8ea09d5704382b3588349511ce","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe246446d43025e7ed6eaff35fc06060","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"9de266a894280845ba3733fa518b03d6","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30b6d7d6d783237c36404a60822fd8f6","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Unclassified Clostridiaceae","Unclassified Clostridiaceae",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
