"SampleId","model","compartment"
"neutral_E10.Fav.abdi.1.20150629.T","neutral","Tissue"
"neutral_E10.Mon.curt.1.20150629.T","neutral","Tissue"
"neutral_E10.Mon.curt.2.20150629.T","neutral","Tissue"
"neutral_E10.Poc.dami.1.20150628.T","neutral","Tissue"
"neutral_E10.Poc.dami.2.20150628.T","neutral","Tissue"
"neutral_E10.Por.hero.1.20150628.T","neutral","Tissue"
"neutral_E10.Por.hero.2.20150628.T","neutral","Tissue"
"neutral_E10.Por.hero.3.20150628.T","neutral","Tissue"
"neutral_E10.Sty.pist.1.20150628.T","neutral","Tissue"
"neutral_E3.11.Fun.sp.1.20150125.T","neutral","Tissue"
"neutral_E3.11.Fun.sp.1.20150127.T","neutral","Tissue"
"neutral_E3.11.Fun.sp.2.20150125.T","neutral","Tissue"
"neutral_E3.14.Phy.lich.1.20150129.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150105.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150106.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150118.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150120.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150121.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.1.20150123.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.2.20150105.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.2.20150106.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.2.20150119.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.2.20150121.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.3.20150105.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.3.20150106.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.3.20150120.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.3.20150121.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.3.20150123.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.4.20150105.T","neutral","Tissue"
"neutral_E3.15.Dip.heli.4.20150106.T","neutral","Tissue"
"neutral_E3.17.Ech.horr.1.20150123.T","neutral","Tissue"
"neutral_E3.17.Ech.mamm.1.20150123.T","neutral","Tissue"
"neutral_E3.17.Ech.mamm.1.20150127.T","neutral","Tissue"
"neutral_E3.2.Tur.reni.1.20150127.T","neutral","Tissue"
"neutral_E3.3.Por.cyli.1.20150123.T","neutral","Tissue"
"neutral_E3.3.Por.cyli.1.20150127.T","neutral","Tissue"
"neutral_E3.3.Por.cyli.2.20150123.T","neutral","Tissue"
"neutral_E3.4.Pac.rugo.1.20150127.T","neutral","Tissue"
"neutral_E3.4.Pac.rugo.1.20150128.T","neutral","Tissue"
"neutral_E3.4.Pac.spec.1.20150128.T","neutral","Tissue"
"neutral_E3.4.Pac.spec.1.20150129.T","neutral","Tissue"
"neutral_E3.5.Gal.astr.1.20150124.T","neutral","Tissue"
"neutral_E3.5.Gal.astr.2.20150124.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.1.20150106.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.1.20150118.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.1.20150121.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.1.20150123.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.2.20150105.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.2.20150106.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.2.20150120.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.2.20150123.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.3.20150105.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.3.20150106.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.3.20150120.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.3.20150121.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.3.20150123.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.4.20150105.T","neutral","Tissue"
"neutral_E3.6.Acr.hyac.4.20150106.T","neutral","Tissue"
"neutral_E3.7.Pav.vari.1.20150124.T","neutral","Tissue"
"neutral_E3.7.Pav.vari.1.20150127.T","neutral","Tissue"
"neutral_E3.7.Pav.vari.2.20150124.T","neutral","Tissue"
"neutral_E7.17.Ech.lame.1.20150620.T","neutral","Tissue"
"neutral_E7.17.Ech.lame.2.20150620.T","neutral","Tissue"
"neutral_E7.17.Ech.lame.3.20150620.T","neutral","Tissue"
"neutral_E7.17.Fav.abdi.1.20150623.T","neutral","Tissue"
"neutral_E7.17.Fav.spA.1.20150623.T","neutral","Tissue"
"neutral_E7.17.Fav.spA.2.20150623.T","neutral","Tissue"
"neutral_E7.17.Fav.spC.1.20150623.T","neutral","Tissue"
"neutral_E7.17.Gon.edwa.1.20150623.T","neutral","Tissue"
"neutral_E7.17.Gon.edwa.2.20150623.T","neutral","Tissue"
"neutral_E7.17.Hyd.exce.1.20150620.T","neutral","Tissue"
"neutral_E7.17.Hyd.exes.1.20150622.T","neutral","Tissue"
"neutral_E7.17.Hyd.exes.2.20150622.T","neutral","Tissue"
