	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
920506	FALSE	FALSE	FALSE	FALSE	FALSE
1856738	FALSE	FALSE	FALSE	FALSE	FALSE
546441	FALSE	FALSE	FALSE	FALSE	FALSE
99912	FALSE	FALSE	FALSE	FALSE	FALSE
351929	FALSE	FALSE	FALSE	FALSE	FALSE
2718033	FALSE	FALSE	FALSE	FALSE	FALSE
348170	FALSE	FALSE	FALSE	FALSE	FALSE
3956482	FALSE	FALSE	FALSE	FALSE	FALSE
62707	FALSE	FALSE	FALSE	FALSE	FALSE
206386	FALSE	FALSE	FALSE	FALSE	FALSE
563796	FALSE	FALSE	FALSE	FALSE	FALSE
72926	FALSE	FALSE	FALSE	FALSE	FALSE
140105	FALSE	FALSE	FALSE	FALSE	FALSE
194024	FALSE	FALSE	FALSE	FALSE	FALSE
113467	FALSE	FALSE	FALSE	FALSE	FALSE
1134274	FALSE	FALSE	FALSE	FALSE	FALSE
582609	FALSE	FALSE	FALSE	TRUE	FALSE
357342	FALSE	FALSE	FALSE	FALSE	FALSE
96373	FALSE	FALSE	FALSE	FALSE	FALSE
1120876	FALSE	FALSE	FALSE	FALSE	FALSE
829240	FALSE	FALSE	FALSE	FALSE	TRUE
2781721	FALSE	FALSE	FALSE	FALSE	FALSE
968354	FALSE	FALSE	FALSE	FALSE	FALSE
149607	FALSE	FALSE	FALSE	FALSE	FALSE
646478	FALSE	FALSE	FALSE	FALSE	FALSE
1845162	TRUE	FALSE	FALSE	FALSE	FALSE
469663	FALSE	FALSE	FALSE	FALSE	FALSE
2055428	FALSE	FALSE	FALSE	FALSE	FALSE
864067	FALSE	FALSE	FALSE	TRUE	FALSE
239868	FALSE	FALSE	FALSE	FALSE	FALSE
512121	FALSE	FALSE	FALSE	FALSE	FALSE
174842	FALSE	FALSE	FALSE	FALSE	FALSE
848713	FALSE	FALSE	FALSE	FALSE	FALSE
533420	FALSE	FALSE	FALSE	FALSE	FALSE
351673	FALSE	FALSE	FALSE	FALSE	FALSE
3213372	FALSE	FALSE	FALSE	TRUE	FALSE
1106960	FALSE	FALSE	FALSE	TRUE	FALSE
206114	FALSE	FALSE	FALSE	FALSE	FALSE
301880	FALSE	FALSE	FALSE	FALSE	FALSE
759250	FALSE	FALSE	FALSE	FALSE	FALSE
101553	FALSE	FALSE	FALSE	FALSE	FALSE
1016369	FALSE	FALSE	FALSE	FALSE	FALSE
3706429	FALSE	FALSE	FALSE	FALSE	FALSE
809730	FALSE	FALSE	FALSE	FALSE	FALSE
240641	FALSE	FALSE	FALSE	FALSE	FALSE
643757	FALSE	FALSE	FALSE	FALSE	FALSE
696477	FALSE	FALSE	FALSE	FALSE	FALSE
668615	FALSE	FALSE	FALSE	FALSE	FALSE
1731151	FALSE	FALSE	FALSE	TRUE	FALSE
590604	FALSE	FALSE	FALSE	FALSE	FALSE
137183	FALSE	FALSE	FALSE	FALSE	FALSE
4442779	FALSE	FALSE	FALSE	FALSE	FALSE
203626	FALSE	FALSE	FALSE	FALSE	FALSE
4365141	FALSE	FALSE	FALSE	FALSE	FALSE
761592	FALSE	FALSE	FALSE	FALSE	FALSE
4353625	FALSE	FALSE	FALSE	FALSE	FALSE
258655	FALSE	FALSE	FALSE	FALSE	FALSE
313174	FALSE	FALSE	FALSE	FALSE	FALSE
234654	FALSE	FALSE	FALSE	FALSE	FALSE
166322	FALSE	FALSE	FALSE	TRUE	FALSE
201724	FALSE	FALSE	FALSE	FALSE	FALSE
4386366	FALSE	FALSE	FALSE	FALSE	FALSE
518263	FALSE	FALSE	FALSE	FALSE	FALSE
4311215	FALSE	FALSE	FALSE	FALSE	FALSE
4434699	FALSE	FALSE	FALSE	FALSE	FALSE
815435	FALSE	FALSE	FALSE	FALSE	FALSE
810893	FALSE	FALSE	FALSE	FALSE	FALSE
297256	FALSE	FALSE	FALSE	FALSE	FALSE
867135	FALSE	FALSE	FALSE	FALSE	FALSE
317953	FALSE	FALSE	FALSE	FALSE	FALSE
146126	FALSE	FALSE	FALSE	FALSE	FALSE
4375708	FALSE	FALSE	FALSE	FALSE	FALSE
782472	FALSE	FALSE	FALSE	FALSE	FALSE
2480553	FALSE	FALSE	FALSE	FALSE	FALSE
244568	FALSE	FALSE	FALSE	FALSE	FALSE
4436510	FALSE	FALSE	FALSE	FALSE	FALSE
331119	FALSE	TRUE	FALSE	TRUE	FALSE
1104728	FALSE	FALSE	FALSE	TRUE	FALSE
276370	FALSE	FALSE	FALSE	FALSE	FALSE
345093	FALSE	FALSE	FALSE	FALSE	FALSE
678059	FALSE	FALSE	FALSE	FALSE	FALSE
554981	FALSE	FALSE	FALSE	FALSE	FALSE
4450615	FALSE	FALSE	FALSE	FALSE	FALSE
540876	FALSE	TRUE	FALSE	TRUE	FALSE
348570	FALSE	FALSE	FALSE	FALSE	FALSE
141106	FALSE	FALSE	FALSE	FALSE	FALSE
1048194	FALSE	FALSE	FALSE	FALSE	FALSE
4327787	FALSE	FALSE	FALSE	FALSE	FALSE
2191823	FALSE	FALSE	FALSE	FALSE	FALSE
2183857	FALSE	FALSE	FALSE	FALSE	FALSE
224486	FALSE	FALSE	FALSE	FALSE	FALSE
236949	FALSE	FALSE	FALSE	FALSE	FALSE
2051733	FALSE	FALSE	FALSE	FALSE	FALSE
300618	FALSE	FALSE	FALSE	FALSE	FALSE
329032	FALSE	FALSE	FALSE	FALSE	FALSE
322919	FALSE	FALSE	FALSE	FALSE	FALSE
236051	FALSE	FALSE	FALSE	FALSE	FALSE
83514	FALSE	FALSE	FALSE	FALSE	FALSE
176775	FALSE	FALSE	FALSE	FALSE	FALSE
251620	FALSE	FALSE	FALSE	FALSE	FALSE
276527	FALSE	FALSE	FALSE	TRUE	FALSE
574510	FALSE	FALSE	FALSE	FALSE	FALSE
7511	FALSE	TRUE	FALSE	FALSE	FALSE
460236	FALSE	FALSE	FALSE	FALSE	FALSE
2366094	FALSE	FALSE	FALSE	FALSE	FALSE
4441200	FALSE	FALSE	FALSE	FALSE	FALSE
4282479	FALSE	FALSE	FALSE	FALSE	FALSE
1560939	FALSE	FALSE	TRUE	FALSE	FALSE
134174	FALSE	FALSE	FALSE	FALSE	FALSE
1128225	FALSE	FALSE	FALSE	TRUE	FALSE
4392535	FALSE	FALSE	FALSE	FALSE	FALSE
322661	FALSE	FALSE	FALSE	FALSE	FALSE
129508	FALSE	FALSE	FALSE	FALSE	FALSE
548196	FALSE	FALSE	FALSE	FALSE	FALSE
938948	FALSE	FALSE	FALSE	FALSE	FALSE
106690	FALSE	FALSE	FALSE	FALSE	FALSE
