"id","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S"
"87eaf8d9edee236b74ee5c7b22bb2291",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a231c9c2798c07caee4649073baaa25c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5690d725733d58ac22b0bb9ae990c448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"f776000df3c1991bd015483f2f3e3dd1",0,0,0,0,5,9,11,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"6658e20dd8918d67460a3002c3af1139",5,7,74,78,2,18,0,0,24,38,0,0,0,38,38,31,0,93,0,0,53,51,6,0
"f2382259b8b48436352f59f357a65ed9",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e685b59fb65ff0c52496488393d4aced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"51e4f09b318d9fd5851263d0309b024c",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"cf09c1a2f69eb84515c3029c05ee3733",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"da1523ee1f32ae1169c70d5f8c565613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"ae1b6d1aa7cbcc457a62af151c20e881",0,0,0,0,15,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73e26bfab62ffe69e9fce5072f5702a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
"fbc2ee6ba3896bdcd5c516a20dd7d169",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32a235a644e97592ec8427f7f775698c",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0
"8f3c5e4af0ca60e401d6f263c046b4ba",0,0,0,0,15,18,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c9af53abfce18921d61e6ac8557d90c2",0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212ef66de99e4343a75c5f3e8df01470",0,12,0,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e53b619e0ad48e942e5eabff2afa361",0,0,0,0,14,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932b3b6fc528aaee27accd562731f5b6",0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a61beaae9620bd23ca035d56ff9a3ee1",0,0,0,0,6,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"d4cb85b609d0a1b4a5789421321a4521",0,4,0,0,26,1,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
