"id","1256-012-C121-M","1256-019-C123-M","1256-022-C127-M","1256-025-C128-M","1256-028-C129-M","1256-040-C143-M","1256-043-C144-M","1256-046-C145-M","1256-049-C148-M","1256-056-C150-M","1256-059-C151-M","1256-062-C152-M","1256-064-C153-M"
"faa3ba3dc7081dc080f4f77c8db18bf8",0,0,0,0,0,0,0,0,0,0,0,0,4
"5f5999d997a3f2b76e58e2747ebc4ab1",0,0,0,0,0,0,0,0,0,0,0,0,5
"9be55058973a48552e78483942df01fc",0,0,0,0,0,2,1,0,3,0,0,0,10
"150821ae14d96d99391fff76daca07d6",122,5,52,0,34,0,30,330,118,0,2,6,42
"37fd047b08a80fef969e89e2a0cd8e2c",0,0,0,0,0,0,0,0,0,0,0,3,0
"3d31438439a0d477cbfa8b9ab7eb8e88",0,0,0,3,0,0,0,0,0,0,0,0,0
"95ef52e5fe3a87904171d2ffd41e8e09",0,0,0,0,0,0,0,0,0,0,0,2,0
"ac2be93e666ffd096c036082b5827918",0,0,3,0,0,1,1,0,0,0,0,6,10
"e3b40aa3ef5b0201e3f05b635b72cfea",0,0,0,0,2,0,0,0,0,0,0,1,0
"737212b14da8bd9b4c76c21380539c0e",0,0,0,1,0,0,0,0,0,0,0,0,7
"56e6954ad0505807bea23b4e9d2eaaa1",0,0,20,0,0,16,0,0,0,0,0,28,14
"8118867cd4a9fe3b2d4072b1127bfb07",0,0,0,0,0,0,0,0,0,0,0,0,3
"2389d7ecf357cf9c1fe1eca0fc353395",0,6,0,1,0,0,0,0,0,10,8,0,0
"166545ba7835a8ff3990786afb022edf",0,0,8,0,0,14,7,0,0,0,0,3,11
"cfaf32c5cd472d8603dcd93bd6f92f36",7,0,0,0,0,0,0,0,0,0,0,0,0
"7ecca5d78a6480f1d1e6b3b08ba8c8ef",0,0,0,0,0,2,0,5,0,0,0,1,4
"fd885b1b8f721398a2f5474e8467c346",4,0,20,0,5,26,4,4,0,0,9,7,43
"74c759e41d815f725eacb3808d6adc7d",0,0,0,0,0,0,3,0,0,0,0,1,0
"161ec299c26c9b30e01a641daebdf6f3",0,0,8,0,3,12,1,6,0,0,0,3,10
"b5ebdbbe526ec55150a2b0f9c14077e2",0,0,0,4,0,0,1,0,7,26,0,0,0
"8a90c947708f2798e8feccb54fbf4583",59,0,7,14,2,0,0,4,18,0,5,0,1
"e08e62ddb1e7372f360eab91e9fc3ed7",0,0,0,0,0,0,0,5,0,0,0,0,8
