"id","1256-101-PW164-M","1256-104-PW165-M","1256-107-PW166-M","1256-110-PW167-M","1256-113-PW168-M","1256-116-PW169-M","1256-120-PW170-M","1256-123-PW171-M","1256-126-PW172-M","1256-129-PW174-M","1256-132-PW175-M","1256-134-PW176-M","1256-137-PW177-M","1256-140-PW178-M","1256-143-PW181-M","1256-145-PW182-M","1256-148-PW183-M","1256-152-PW185-M","1256-155-PW186-M","1256-158-PW187-M","1256-161-PW190-M","1256-163-PW191-M","1256-165-PW192-M","1256-169-PW193-M","1256-172-PW194-M","1256-175-PW195-M","1256-178-PW197-M","1256-185-PW199-M","1256-190-PW202-M","1256-193-PW203-M","1256-196-PW204-M"
"3dd0e4748bb6a53cac56c007f3cb8d19",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"49e94c50fce84ba3c3473e1f68c74f16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0
"16527653c224e26773705c156ca14b2e",0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"9c97c205158e956978b6437a058814be",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"9b5d55e07cb4eb78df62730f673d958b",0,77,20,5,17,15,10,11,4,31,0,0,0,0,4,0,11,4,0,6,7,0,2,0,0,2,0,0,2,0,0
"6cc925c69cc87f2fc487fb85b7a35aef",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07e6e7c5d140e09c154e24d243a2820b",0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"bfc7be733e24827a6607ce9502ad7ed4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1
"115549485fdcf26156c3e23fb83cb898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,6,0,5,3,0,3,0,0,0,0,4,12,3,0
"ef4e650e2586ddad24a9ec87ab314847",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,7,3,0,6,5,0,2,0,0,0,5,12,2,6,2
"7f5d15bde8e16b841a716eb5b0d8d4ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
"0ae022587f5850f2aca93be54395cca6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"53613c2280d2e1c5e64bb7bdcd856ff1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
