	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
557998	FALSE	FALSE	FALSE	FALSE	FALSE
820981	FALSE	FALSE	FALSE	FALSE	FALSE
706500	FALSE	FALSE	FALSE	FALSE	FALSE
329004	FALSE	FALSE	FALSE	FALSE	FALSE
1132905	FALSE	FALSE	FALSE	FALSE	FALSE
1140434	FALSE	FALSE	FALSE	FALSE	FALSE
1040796	FALSE	FALSE	FALSE	FALSE	FALSE
538178	FALSE	FALSE	FALSE	FALSE	FALSE
811810	FALSE	FALSE	FALSE	TRUE	FALSE
330888	FALSE	FALSE	FALSE	FALSE	FALSE
3992842	FALSE	FALSE	FALSE	TRUE	FALSE
550825	FALSE	FALSE	FALSE	FALSE	FALSE
3660402	FALSE	FALSE	FALSE	TRUE	FALSE
4374557	FALSE	TRUE	FALSE	FALSE	FALSE
146556	FALSE	FALSE	FALSE	FALSE	FALSE
4481373	FALSE	FALSE	FALSE	FALSE	FALSE
931727	FALSE	FALSE	FALSE	FALSE	FALSE
832359	FALSE	FALSE	FALSE	FALSE	FALSE
808440	FALSE	FALSE	FALSE	FALSE	TRUE
354725	FALSE	FALSE	FALSE	TRUE	FALSE
804325	FALSE	FALSE	FALSE	FALSE	FALSE
110755	FALSE	FALSE	FALSE	FALSE	FALSE
4465803	FALSE	FALSE	FALSE	FALSE	FALSE
4359640	FALSE	FALSE	FALSE	FALSE	FALSE
70071	FALSE	FALSE	FALSE	FALSE	FALSE
571072	FALSE	FALSE	FALSE	FALSE	FALSE
1856738	FALSE	FALSE	FALSE	FALSE	FALSE
819561	FALSE	FALSE	FALSE	FALSE	FALSE
3860285	FALSE	FALSE	FALSE	FALSE	FALSE
114681	FALSE	FALSE	FALSE	FALSE	FALSE
2853353	FALSE	FALSE	FALSE	FALSE	FALSE
346201	FALSE	FALSE	FALSE	FALSE	FALSE
1016465	FALSE	FALSE	FALSE	FALSE	FALSE
254116	FALSE	FALSE	FALSE	FALSE	FALSE
1111255	FALSE	FALSE	FALSE	FALSE	FALSE
581316	FALSE	FALSE	FALSE	FALSE	FALSE
28793	FALSE	FALSE	FALSE	FALSE	FALSE
99430	FALSE	FALSE	FALSE	FALSE	FALSE
582814	FALSE	FALSE	FALSE	FALSE	FALSE
1109458	FALSE	FALSE	FALSE	FALSE	FALSE
224880	FALSE	FALSE	FALSE	FALSE	FALSE
164443	FALSE	TRUE	FALSE	TRUE	FALSE
289355	FALSE	FALSE	FALSE	FALSE	FALSE
1104882	FALSE	TRUE	FALSE	TRUE	FALSE
4409528	FALSE	FALSE	FALSE	TRUE	FALSE
4362093	FALSE	FALSE	FALSE	FALSE	FALSE
97685	FALSE	FALSE	FALSE	FALSE	FALSE
1144747	FALSE	FALSE	FALSE	FALSE	FALSE
3208	FALSE	FALSE	FALSE	FALSE	FALSE
535675	FALSE	FALSE	FALSE	FALSE	FALSE
825260	FALSE	FALSE	FALSE	TRUE	FALSE
587391	FALSE	FALSE	FALSE	TRUE	FALSE
4411853	FALSE	TRUE	FALSE	FALSE	FALSE
4446915	FALSE	FALSE	FALSE	FALSE	FALSE
538535	FALSE	FALSE	FALSE	FALSE	FALSE
948180	FALSE	FALSE	FALSE	FALSE	FALSE
561208	FALSE	FALSE	FALSE	FALSE	FALSE
158932	FALSE	FALSE	FALSE	FALSE	FALSE
4327197	FALSE	FALSE	FALSE	FALSE	FALSE
262657	FALSE	FALSE	FALSE	FALSE	FALSE
833553	FALSE	FALSE	FALSE	FALSE	FALSE
