"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"2c61fb0010a0723845d7b72b24180e06","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Unclassified  Paramaledivibacter",0,0,7,0,0,0,0
"9c3ea0cd050b9464686705eadb175de6","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Unclassified  Paramaledivibacter",0,0,0,0,15,0,0
"a2be8a268512722124ff4f5183e5a2cb","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","Fusibacter uncultured_bacterium",0,0,0,2,0,0,0
"8bbe03b1ddf5877185df235afb493de9","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Fusibacteraceae","Fusibacter","Fusibacter uncultured_bacterium",0,0,0,0,2,0,0
"c8c9a5b7db83dca77f94d142f0e0805c","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales",0,0,0,0,1,0,0
"a5e2ad6ae2cc8375256c4ecf88c5e201","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified Lachnospiraceae","Unclassified Lachnospiraceae",0,0,0,0,5,0,0
"c305de71fa793e9e7a70c2d41c8a943e","d__Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Unclassified  Halanaerobium",0,0,0,8,0,0,0
"5161c413f6100206b9f63bc73bb4c204","d__Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Unclassified  Halanaerobium",0,0,0,0,6,0,0
"bba82594ca64c9cab62277695a996ab7","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified Lachnospiraceae","Unclassified Lachnospiraceae",12,0,0,0,0,0,0
"e435c6d0de2991b04bc1e21b3fe60446","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Unclassified  Latescibacterota",0,0,2,0,0,0,0
