"function.","genome_path_count","mean_path_abun","genome_path_sd","unique_family_count"
"K00758",235,1,0,3
"K00759",912,1.0792899408284,0.270350776976807,11
"K00760",409,1,0,6
"K00761",755,1,0,10
"K00762",920,1,0,13
"K00763",605,1.13508442776735,0.342134831402115,8
"K00764",961,1.0445652173913,0.206459416945406,13
"K00765",832,1,0,10
"K00766",873,1,0,11
"K00767",832,1,0,10
"K00768",390,1,0,5
"K00769",210,1,0,2
"K00772",234,1,0,2
"K00773",920,1,0,13
"K00782",188,1,0,2
"K00783",796,1,0,11
"K00784",322,1,0,5
"K00788",1061,1.52442528735632,0.725273225732169,8
"K00789",920,1,0,13
"K00790",944,1.02608695652174,0.159480635039626,13
"K00791",920,1,0,13
"K00793",1035,1.15513392857143,0.362234505247222,12
"K00794",1060,1.18303571428571,0.386911770661138,12
"K00795",547,1,0,8
"K00796",879,1,0,12
"K00797",436,1,0,5
"K00798",659,1,0,8
"K00799",3551,4.7792732166891,2.44337511464337,10
"K00800",1039,1.15830546265329,0.365230822781783,12
"K00806",1016,1.10434782608696,0.305877514825447,13
"K00808",180,1,0,2
"K00809",153,1,0,2
"K00812",688,1.2091388400703,0.407051572224037,7
"K00813",156,1,0,2
"K00817",1313,1.5338785046729,0.667558634316762,11
"K00818",354,1,0,4
"K00819",93,1,0,2
"K00820",920,1,0,13
"K00821",535,1,0,7
"K00822",486,1,0,6
"K00823",197,1,0,3
"K00824",221,1,0,3
"K00826",1086,1.21070234113712,0.408034894238701,12
"K00830",594,1.19277108433735,0.394871488922424,6
"K00831",658,1,0,10
"K00832",386,1.31292517006803,0.464474764296253,4
"K00833",754,1,0,10
"K00835",139,1,0,2
"K00836",236,1.4390243902439,0.497788014497061,2
"K00839",84,1,0,1
"K00841",24,1,0,1
"K00845",853,1.35182250396197,0.477917778876015,8
"K00847",1048,1.42198100407056,0.494210926483881,9
"K00849",227,1,0,4
"K00850",407,1.19705882352941,0.398363387951213,6
"K00851",399,1,0,5
"K00852",621,1,0,7
"K00854",438,1,0,5
"K00855",390,1,0,4
"K00856",130,1,0,2
"K00857",340,1,0,6
"K00858",1058,1.15,0.35726564032724,13
"K00859",920,1,0,13
"K00860",528,1,0,6
"K00864",686,1,0,9
"K00865",255,1,0,4
"K00867",192,1,0,3
"K00868",447,1.27350427350427,0.446393771537417,5
"K00869",76,1,0,2
"K00870",138,1,0,1
"K00872",370,1,0,5
"K00873",1111,1.39572864321608,0.489314084655945,11
"K00874",367,1,0,5
"K00876",437,1,0,6
"K00878",197,1,0,3
"K00882",409,1,0,6
"K00883",164,1,0,2
"K00884",206,1.48201438848921,0.501483566936558,2
"K00887",24,1,0,1
"K00889",101,1,0,1
"K00891",938,1.04570791527313,0.208967421722374,12
"K00892",211,1.51798561151079,0.501483566936558,2
"K00901",820,1.23493975903614,0.424280773008201,8
"K00906",315,1,0,4
"K00912",694,1,0,9
"K00917",24,1,0,1
"K00919",868,1,0,12
"K00924",130,1,0,2
"K00925",651,1.31515151515152,0.465046172528849,7
"K00926",250,1.36612021857923,0.483064538240437,3
"K00927",920,1,0,13
"K00928",1116,1.21304347826087,0.569675736050509,13
"K00930",855,1,0,11
"K00931",940,1.0981308411215,0.297665398213039,11
"K00936",1472,3.37614678899083,1.62332985904807,6
"K00937",731,1,0,9
"K00938",24,1,0,1
"K00939",920,1,0,13
"K00940",920,1,0,13
"K00941",653,1.12392426850258,0.329779060489914,8
"K00942",961,1.0445652173913,0.206459416945406,13
"K00943",868,1,0,12
"K00945",710,1,0,11
"K00946",873,1,0,11
"K00948",944,1.02608695652174,0.159480635039626,13
"K00949",24,1,0,1
"K00950",1116,1.28571428571429,0.452014403449732,12
"K00951",848,1.18105849582173,0.38533507225839,10
"K00954",920,1,0,13
"K00955",226,1.42138364779874,0.495340923368769,2
"K00956",501,1,0,7
"K00957",660,1.11298482293423,0.316841509273954,8
"K00958",138,1,0,1
"K00962",920,1,0,13
"K00963",1051,1.48656294200849,0.673898585132825,10
"K00965",175,1,0,3
"K00966",138,1,0,1
"K00969",807,1,0,11
"K00970",748,1,0,10
"K00971",918,1.45945945945946,0.498750375087604,8
"K00973",735,1.07613469985359,0.265407879561172,9
"K00974",659,1,0,9
"K00975",625,1.36761487964989,0.740792457704684,6
"K00978",260,1,0,3
"K00979",735,1,0,10
"K00981",1142,1.24130434782609,0.428107197255942,13
"K00982",541,1,0,7
"K00983",164,1,0,2
"K00986",139,1,0,2
"K00988",205,1,0,2
"K00989",720,1,0,9
"K00990",582,1,0,8
"K00991",583,1,0,7
"K00992",527,1,0,7
"K00995",977,1.1813784764208,0.385564628790598,11
"K00997",638,1,0,10
"K00998",164,1,0,2
"K01000",920,1,0,13
"K01002",41,1,0,1
"K01003",92,1,0,1
"K01004",92,1,0,1
"K01006",220,1,0,3
"K01007",445,1,0,6
"K01008",297,1,0,3
"K01011",1016,1.73972602739726,1.25376849171356,7
"K01012",821,1.08885941644562,0.284729593996482,10
"K01026",168,1,0,2
"K01028",396,1,0,5
"K01029",396,1,0,5
"K01031",72,1,0,1
"K01032",72,1,0,1
"K01039",159,1,0,2
"K01040",159,1,0,2
"K01042",92,1,0,1
"K01046",642,1.40174672489083,0.802183293498316,5
"K01048",252,1,0,3
"K01053",264,1.57142857142857,0.496351099554624,2
"K01055",92,1,0,1
"K01056",920,1,0,13
"K01057",624,1.15555555555556,0.362769529593834,6
"K01058",353,1,0,5
"K01060",24,1,0,1
"K01061",888,1.68181818181818,0.466212187412089,6
"K01066",297,1.44878048780488,0.498587195758446,3
"K01069",905,1.10231425091352,0.303245861217337,10
"K01070",621,1,0,7
"K01071",24,1,0,1
"K01075",159,1,0,2
"K01077",380,1.18012422360248,0.384889007875455,5
"K01078",41,1,0,1
"K01079",617,1,0,9
"K01081",401,1.21884498480243,0.414093047655402,5
"K01082",833,1.11214953271028,0.315761195668957,9
"K01083",166,1.328,0.471374106615008,2
"K01087",168,1,0,2
"K01089",208,1,0,3
"K01090",168,1,0,3
"K01091",1977,2.27764976958525,1.30745639350272,12
"K01092",1340,1.54377880184332,0.685436243387016,12
"K01095",610,1,0,9
"K01096",72,1,0,1
"K01101",24,1,0,1
"K01104",1079,1.79534109816972,0.62159332240471,8
"K01113",535,1.4819944598338,0.691481830702328,5
"K01118",918,1.42990654205607,1.05196183590495,8
"K01119",211,1,0,3
"K01126",896,1.77777777777778,0.677838793257185,8
"K01129",717,1,0,10
"K01130",582,1.97959183673469,1.72303957059738,3
"K01133",92,1,0,1
"K01139",311,1,0,3
"K01141",488,1,0,6
"K01142",1397,1.51847826086957,0.670930581365254,13
"K01144",286,1,0,3
"K01146",139,1,0,2
"K01147",340,1,0,4
"K01150",231,1,0,3
"K01151",139,1,0,2
"K01153",984,2.835734870317,0.724542685363323,5
"K01154",714,2.05763688760807,0.595860630424353,5
"K01156",211,1,0,3
"K01159",855,1,0,11
"K01166",96,1,0,1
"K01167",72,1,0,1
"K01173",384,1.23076923076923,0.422001872051346,4
"K01175",223,1,0,3
"K01176",364,2.45945945945946,1.50454358744057,3
"K01179",534,1,0,6
"K01181",264,1.46666666666667,0.500279251627467,2
"K01183",421,1.51985559566787,0.878777135816673,3
"K01185",439,1.45847176079734,0.49910218395958,3
"K01187",339,1.18118466898955,0.385843899432365,4
"K01190",395,1.74008810572687,0.967766332137548,4
"K01191",138,1,0,1
"K01192",168,1,0,2
"K01193",350,1.07361963190184,0.261552341191268,4
"K01194",84,1,0,1
"K01200",24,1,0,1
"K01201",52,1,0,1
"K01207",1001,1.18461538461538,0.388215018351858,11
"K01209",168,2,0,1
"K01215",24,1,0,1
"K01220",24,1,0,1
"K01222",139,1,0,2
"K01223",144,1.5,0.870571500132014,2
"K01226",188,1,0,3
"K01232",72,1,0,1
"K01235",84,1,0,1
"K01236",260,1,0,3
"K01239",159,1,0,2
"K01241",260,1,0,3
"K01243",579,1.40875912408759,0.807477957342104,6
"K01244",67,1,0,1
"K01246",617,1,0,9
"K01247",460,1,0,6
"K01250",67,1,0,1
"K01251",868,1.083645443196,0.277028327310285,10
"K01253",101,1,0,1
"K01255",1091,1.29265402843602,0.455250709774365,11
"K01256",863,1.08417085427136,0.277818439340351,11
