"id","1256-008-C119-T","1256-011-C120-T","1256-014-C121-T","1256-018-C122-T","1256-024-C127-T","1256-027-C128-T","1256-030-C129-T","1256-032-C132-T","1256-036-C133-T","1256-042-C143-T","1256-045-C144-T","1256-048-C145-T","1256-052-C148-T","1256-055-C149-T","1256-061-C151-T","1256-066-C153-T"
"fca3b97b11bc04502821ccc6689e9eee",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"2599ef4b278264c9a1e1dc7b7ebb1682",0,0,0,127,0,0,0,0,4,0,0,0,0,0,0,0
"cc37900846b3917480b587a0d72d2972",0,0,0,0,2,0,0,12,17,0,0,1,3,0,0,0
"6bd14805e0f320fcbb3336238d1a038f",0,0,0,0,0,0,0,0,0,0,0,0,6,12,4,0
"86c6cf30f516ff163ade8701375dde2a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"0f7167c93714aad995d12b460fd852b6",0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
"bb47df36dfa7478b0c019d25eb833909",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26e7db464bd9ddffc818ca93655b62d9",0,0,0,0,15,13,36,0,0,0,1,0,0,0,0,0
"e8b9613b88f1782fe3de2398b2f2c91f",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"9b511c2148fd0247745244f6223b2a3a",0,5,0,0,0,0,0,0,12,0,0,0,0,2,5,0
"0f07e89a01c383a80e5b57defbc16369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"84f573579c3d999e821944c844882d3a",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ce42b275de17670fd63077bdc06c9e1a",0,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0
"8126c740ba85d052040a0c97f5a38871",0,0,0,0,6,5,38,0,0,10,0,2,2,0,2,165
"c4c294d50cad541b3085aff65fe698af",14,0,17,0,0,7,0,7,16,3,2,1,3,0,12,0
"01d626abe739bdacfb8b15f3cd881e7c",23,0,0,0,3,0,0,17,0,0,0,2,0,2,20,1
"8e80d1e08dbe8bc02a9f35fab8f7430d",0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0
"b07f654ae8ae1e45d13c312a391bd42b",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ccce65c2f144141a459f94bd10352d49",0,0,0,0,8,14,3,0,0,0,0,3,6,11,0,5
"37adf42192fbab5b449df1639f0c920c",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"09709407208fdb5e90845047ec1b75e0",0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0
"504c7722da75fb043c4719c82da8f7d3",0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0
"324957722871201f6ff98d964ea373e0",47,38,14,18,0,66,15,12,0,4,0,3,2,0,3,0
"274c0d1c720eb48f573863b90e4ef2ef",0,5,0,0,0,0,2,0,0,0,0,0,0,1,1,0
"c56bdc1ad8b59c418626045fc75e6376",0,0,0,0,2,0,5,0,0,0,0,0,0,2,1,2
"a9cd9dd1d65e0f77d0a1edd7b97e5266",69,0,0,0,3,0,0,30,29,3,0,0,0,23,20,2
"f0b6c92cc0123a68a60f2c48d9de92bf",0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"3cb0104b5a0c0d13e0e884c5f8cf5e1f",0,0,0,0,0,0,11,16,0,0,0,0,0,0,11,0
"e651bb1fdfdc4f2037890c3a9052a8f6",0,4,0,0,9,95,0,36,0,11,5,17,13,21,26,0
"5865a6f045a732d7eec403212a118e42",0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0
"865c22deedf6fa81324ca6c629d75530",0,0,0,0,5,2,1,0,0,0,1,1,2,0,0,0
"b17da5271cf623f5d49cd7ceefbec647",50,0,0,46,1,0,0,53,70,2,1,0,0,3,0,3
"873ea27b2c0f46622c21b8df4a362e64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"df67b6b1f1703b9c7fe6ce0bc78b2837",0,0,0,0,0,0,0,0,0,1,3,1,0,0,3,0
"ba92b4c2d7d0989ed857017d9df7dfd0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3c79a81911af518c4c4482a126a2d1e6",0,0,0,0,0,3,0,0,0,0,0,0,0,2,12,0
"18c17cdcface21129e6240aeeee0211d",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
"9ea5eb11d77390ea381ce956069c4078",0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0
"2b3dc5bc0db1f0e69b18885088e42a56",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ebfd49a81be4c102fdf02837f8865a5b",0,52,57,10,0,0,0,0,0,1,0,0,0,0,0,0
"13aff901e9a084b39240f3fe567bc1f1",0,0,40,12,0,0,0,0,0,0,1,0,0,0,0,0
"49e2566d25a33c43812619a7e194f4d8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"396601689846acbb2a8d413e1916fd17",0,39,54,39,0,0,0,0,0,0,0,0,0,0,0,0
"8f22e727988a392aa67bf459a1bc9105",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbbf6736bf832f0e41df6e675f85cce6",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"76067d8836c2a74f3abf670213dcf884",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"19f2dc3477f84999369f99d59898b7bf",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
"f1786af91a1a086c909800caa38cb960",0,0,0,0,0,0,0,0,0,3,5,0,0,1,3,5
"dd16197e7dc73a21ef75844205decd40",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
"dd116ab3e65539202bf58c35d48f2d25",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ad26fb3111e2175c646eb8f2c6f06bcb",16,0,0,7,0,0,0,18,48,0,0,0,0,0,1,3
"86985ca896f6b94bfe7ea9dd6ba3ad3a",0,0,0,0,1,0,0,30,8,0,0,0,0,0,3,0
"2ae5d6cfe885b43df96d8db99f97e108",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"b4d129d95b25477fcb201a266e3d0a81",14,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0
"349fb94823ece4a82a7b4d84a942aa9b",47,0,2,42,0,0,0,158,41,1,0,0,0,0,158,0
"668e9fb850c74a74183b40c005adc443",95,0,0,0,0,18,0,0,0,11,1,0,0,0,0,0
"df1bf9caec16a74e3623bc87a35f1870",0,0,0,0,0,0,0,0,0,0,0,3,4,5,2,0
"ac5d9856904185e47077ccf35b75aa95",0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0
"590922f75ed2adb3030fe7345601fb2e",0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0
"5293f360cacdbc75adb2fa402322ab69",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"a32176bd5e8121769f98602534c3619d",0,0,0,0,12,1,2,0,0,0,0,41,23,22,0,1
"89be92775e409edaa848063e7aa557aa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
"a191b6b22bff54d1ce79721a6c737fc6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ff8d4ac91a7e1a0e412a28e6aa49731c",0,0,0,0,3,3,6,5,0,4,1,32,20,18,0,4
"9c658495f138597f568521c227f9e298",0,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0
"9c58f3062b8c031f44b1bbe6dfa3d318",0,0,0,0,25,7,2,0,0,0,1,0,2,0,0,0
"9edce0e0c5375d2a7eca424527f0adc2",0,0,0,0,0,0,4,0,0,2,0,2,4,2,2,67
"23bf504cbb1e5f626162a8778c26aa95",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"b4e933f4a3802b42ab0897c134423428",0,0,0,0,0,0,0,1,0,0,0,9,12,15,0,0
"cb0ee921e6648e02b0ae734130e7d546",0,0,0,0,1,0,0,0,0,0,0,4,5,5,0,0
"6d41aac32108ae72f4d52ea1b5754cf6",0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
"057245c9610231489082a12975f3987c",0,0,0,0,20,0,27,0,0,4,0,138,92,138,0,0
"2830446b438d331e39500e8f7fcd851a",0,0,0,0,0,0,0,0,0,0,0,1,22,8,0,0
"6905abc549a14d776bc5022869d6c2a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"721541ac3cb195097ef0b5785234dfc8",0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0
"cf610f23aed6b689cd6866f8d4c941d6",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"2f3f91c01e7fef6c3e0270da951f8a0d",0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1
"ccfee6a273801b427f1368c44686de01",0,0,0,0,10,0,3,0,0,0,1,6,44,73,0,0
"0d7cbe58152b35a03f74ded8b1d77391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"e58b1dd32baf26a04dadefa01c4e79df",0,27,0,29,0,0,0,0,0,0,1,0,0,0,0,0
"5eb563228053ecb8ddd4f9372a9d4919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7a5e4ccbf76daee65041127b2b2b021f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ffcf4d6573839f78e20cfacc8fe59154",0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3
"3db9d7441bd7f133ea0711360a9339e7",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"eab4fda9cee61bce80bc7cd47631f599",0,0,0,0,38,2,6,0,0,4,0,57,23,26,0,0
"efcf3bdeb7349279e651ce924b349894",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"a321b5e6a4c33f88dd7eba27afb6b7c4",0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0
"4143f8b9c84841fc37e99859e8cb5dad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9e2dcd90f89946d734cd7b213fece339",0,6,0,0,0,0,0,5,7,1,0,0,0,1,0,2
"4170ecbe79c7db689e18ef7ad481edd1",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"e6e5171641b9ad5a6db79c1bf8375b8a",0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
"dcd0e3f64343089fa209c1584cc8e787",0,0,0,0,28,0,0,0,0,0,0,9,8,12,0,0
"4105ac7ceed1da4bceb4f4c76230b2fe",0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0
"a060d734ad7ea4c9200e9385535ad171",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"e3826ab58cb555061ee7e72af52a3a5c",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3c485cb38c01f598c32327bb55e41bdf",9,0,0,0,47,7,2,0,0,0,0,5,22,11,12,0
"142bf8478e489e613e5a363ee4c9df67",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"e71eb33339d76d6451d5cea8b441786d",0,39,9,0,0,0,0,0,0,0,0,3,0,0,0,0
"61d392509ec47c0fb728bf4d79b09770",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019fb2173f95f623f9f2e044f7604a23",0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0
"66118c84653c18a414c8f3dbba285961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"c17729ac696d3a41fbd2310b4f8752a8",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"5c2f7daf7707f8f0301fb05e7c862ed0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"a93608f53225377fe3b5baa6ccf7fc48",0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0
"65d4e25973c0092cc2308b8eb022f9f7",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"94a1ffee1ca076f48b78b8ab13712479",4,0,0,0,6,0,1,0,0,0,1,1,2,1,0,6
"bcef888831ee52d25835a0c7d3b61703",0,0,0,0,13,0,1,0,0,0,0,2,0,3,7,1
"3e0c46e4a27bd7087f239be6d73fb660",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"e5567465223bd8989407c608c46d8309",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"e6bea6135165b7b1af4d08fdbddfb4e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5717f5ee711a2788c8efb30975487880",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
"9654c0fea4ea2c8a5cc442c24d927931",0,0,21,25,0,0,0,0,0,5,0,1,0,0,9,30
"ba1c80eec5e4729380ef25884135f684",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2f98f061e4ad0254c9070c1648c8b85b",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f5650b14cde5e6cecad1c1e03cf49377",0,0,0,0,6,1,1,0,0,0,0,3,7,11,9,0
"a500e7ea1c75bf5f638e370a4af5260a",0,0,0,0,2,4,0,0,0,0,1,0,6,2,2,0
"f34ace93a8b881f77277003fd31e5480",0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,38
"791084378fe33abb554981d7dd3f0dbf",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"e909ac935a7abf4a9762361b3af63db2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"122e2ca480ea68952b5cacae22fbfa1b",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
"b57a3a0bdf51f2101f7bf9cfafac098f",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68001fdd948ac2b25360346dfb6c3f4e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"94b1e50a3f36a886f03dc729ae274a8e",0,0,0,0,9,0,0,0,19,0,0,5,34,15,0,2
"d1b559c7f4a4da61744e55cc135617be",0,0,0,0,40,0,3,0,0,0,0,36,14,19,0,0
"8b3d5f6566cd51152590cc67ef5cba55",0,0,0,0,3,6,0,0,0,3,0,2,2,0,1,0
"f7c8dfcffbe39766f4c10b558e52eb4c",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"63b5766cd6c4d44d118c14989429f801",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
"23d27f267e610f093d48f5e69399a81a",0,0,0,0,23,0,7,0,0,0,0,8,5,8,0,0
"c5451b005e51b66e27a5665626c86772",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"60e76308a2cdbd5c281c9f6bbf0aea3f",0,0,0,0,11,0,0,0,0,0,0,8,21,21,2,0
"6b6c48a06bb04a0d6000d49fc3ea418c",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2002856622220a377e1bebdd0778b72b",0,0,0,0,3,0,1,0,0,0,3,0,0,1,0,0
"b1497573bdeb84db998cc700851c97f5",0,0,0,0,12,1,1,0,0,1,0,2,34,33,4,3
"e752a4d9b70a9954a04784736d3d3722",0,0,0,0,3,0,0,0,0,0,0,0,29,24,1,0
"eab069b33433bdcadec443d52e6f4c47",0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
"36d76d15931999c0d1c759f1b5f93489",0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
"9712b94d254caa64828d2113bc2248c9",0,0,0,0,2,0,0,0,0,0,0,10,30,4,0,0
"d9e2a77b4850752d99250eaff941093c",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"8292c5adbbaef6b2b68766ecdf785479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1619702cc31592dea48c49e3fafbc64c",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"8e39981dc55026905c909a6c42373660",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
"67903a9e55a917a63df560cd9b4ff023",0,0,0,0,5,5,12,0,0,0,0,1,7,6,5,9
"f76f289b4969c05465bca6bd0e3e6431",0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0
"f4bc67045f3954edb449ef6243e23007",0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0
"79e8e7bf933be6176f7c253d700c3cbb",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4d54ffdd914f098aa77b9a0d220741ff",0,0,9,0,1,3,0,0,0,3,0,2,9,4,13,3
"d5c43a0782e69c5385a248a801200825",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
