id,Taxon,Consensus
67e5ff1ae45451cefc6f394ef67eb09f,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales,1
c1356a087fefbb27d645516b409e8423,d__Bacteria; p__Patescibacteria; c__ABY1; o__Candidatus_Magasanikbacteria; f__Candidatus_Magasanikbacteria; g__Candidatus_Magasanikbacteria; s__uncultured_bacterium,0.6
9ab2172cc7a35d7f130d9fcb04085e8d,d__Bacteria; p__Marinimicrobia_(SAR406_clade); c__Marinimicrobia_(SAR406_clade); o__Marinimicrobia_(SAR406_clade); f__Marinimicrobia_(SAR406_clade); g__Marinimicrobia_(SAR406_clade); s__uncultured_bacterium,1
4aeb5ec9c13a0378e432157743ac2c4c,d__Bacteria; p__Acidobacteriota; c__Subgroup_26; o__Subgroup_26; f__Subgroup_26; g__Subgroup_26; s__uncultured_bacterium,1
0972af539c438102f4f9e91fb23c9a06,d__Bacteria; p__Firmicutes; c__Clostridia,1
827cc5100ecf16c90ad4f4aca75b1ded,d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellae; o__Kiritimatiellales; f__Kiritimatiellaceae; g__R76-B128; s__uncultured_bacterium,0.6
6bd8de5bcd0db43bd220f48c2cd515fe,d__Archaea; p__Aenigmarchaeota; c__Deep_Sea_Euryarchaeotic_Group(DSEG); o__Deep_Sea_Euryarchaeotic_Group(DSEG); f__Deep_Sea_Euryarchaeotic_Group(DSEG); g__Deep_Sea_Euryarchaeotic_Group(DSEG); s__uncultured_archaeon,0.9
17a8bad3804891d1f9313f9e8e24c600,d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae; g__Sumerlaea; s__uncultured_organism,0.6
7d8ad42f268270c36d8d5a6615a84131,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__uncultured; g__uncultured; s__uncultured_bacterium,0.6
18bd0a9ae7d5f86586609335611103d8,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17,1
26f2f03921a766faf144656dc967e175,d__Bacteria; p__Desulfobacterota,1
8fd22aa7d1572f98191c233964af4a90,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured,1
18c3ebaae0add40bb694269a6805c306,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__AT-s2-59; f__AT-s2-59; g__AT-s2-59,0.6
3a32f544af243be1aebef6212c54b95f,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia,0.8
8d11532bfd895f61fe71778f80c6c053,d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales; s__uncultured_bacterium,0.8
c247f3367f24d381ef83cf336c5ec19f,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae,1
