"id","E10.10.Poc.dami.1.20150630.T","E10.10.Sty.pist.2.20150630.T","E10.17.Fav.abdi.1.20150630.T","E10.17.Gon.favu.1.20150629.T","E10.17.Gon.favu.1.20150630.T","E10.17.Gon.favu.2.20150630.T","E10.17.Mon.curt.3.20150629.T","E10.Acr.cyth.1.20150627.T","E10.Acr.cyth.2.20150627.T","E10.Acr.cyth.3.20150627.T","E10.Acr.pali.2.20150627.T","E10.Acr.pali.3.20150627.T","E10.Alv.alli.1.20150628.T","E10.Alv.alli.2.20150628.T","E10.Alv.alli.3.20150628.T","E10.Cyp.micr.1.20150627.T","E10.Fav.abdi.1.20150629.T","E10.Mon.curt.1.20150629.T","E10.Mon.curt.2.20150629.T","E10.Poc.dami.1.20150628.T","E10.Poc.dami.2.20150628.T","E10.Por.hero.1.20150628.T","E10.Por.hero.2.20150628.T","E10.Por.hero.3.20150628.T","E10.Sty.pist.1.20150628.T"
"bc340a30ad1bdbc89fc91193ddb4b04a",0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dfa8fff425479d641ef1f34697892c5e",0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"0820a156740fe5434ccd44db6c81adf0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"bb3ca030380711da8914e7859f747d0b",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"6ae545623c4d7c3379252386559fbd08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"d7faf77ca3fc1a3dea21aad7ee2e8cab",0,0,0,0,0,0,0,0,0,0,0,0,11,7,12,0,0,0,0,0,0,0,0,0,0
"657b90dbea7c85dceb6cb9fdabe39d4a",0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0
"213b3595893d932222d91dc8fcf42f52",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2acaa5fd9cdc7a01263a41005bb1846c",0,0,0,0,0,0,0,0,0,0,0,10,0,4,11,0,0,0,0,0,0,0,0,0,0
"d722fdf200ddd5ba01acd3d944a07a19",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a815ac1ca33451d1553e87c7b06a385",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15faca6e47988b4fb3648dda6c216bc0",0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5023e9e62fcb030d0d2a37b857677012",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"c616b41aeb8714c0e3e9be9e71984b12",0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ef06bb913d35325469e90bec8715e272",0,0,0,0,0,0,0,0,0,110,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e346cf2c4fb6706871bf666c663f98b",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"3d159458ab080fd0ad99390fe86cf441",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546b3eed0a8d2271a4ce1669ef00dcfc",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"d7ec73ab7b14c37c0c129bd2f0f7441d",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"89a7e6ffd42f5602206158594318bf7f",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
