"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"79839543885d28d2ed995d2508a3df06",0,0,0,0,6,1,0,12,0,1,0,12,0,1,0,0,0,0,2,0,0
"4a951cf1e82e8b794c33701e5bcaacaa",0,0,0,0,1,2,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0
"0237ad941160db6a4f9e5c9748b0afe5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"f5ff039929fa004eaeee33d4d8d15336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
"c64cbba65098e2f25a1de96ae7715a63",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1b31d334e5ebf07bd4dce664e985fa7d",0,1,0,2,19,4,1,24,7,4,16,22,13,0,0,0,0,2,7,10,0
"818fc6750c53055bb39f79ef6ba61b14",0,0,0,0,0,0,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0
"c6041f7b29c339ad9dbc53ac83a60134",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"721524aa28e65830331b63fdf8679a1f",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"e1f310535b4302e3b40ee17a724e448d",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"a28b3322ef709a403d8b85eb34322c8f",0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"d0e097d359a08460ed7ee99f0c339c6d",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
