sample	function	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun
1256-001-Control	1CMET2-PWY	99f8d407d5e2809eaeac536a105590f8	63.0	1.0559555895249209	1.1691603174603176	73.6571	1.2346
1256-001-Control	1CMET2-PWY	9ab7e11f82389dc731e87044f6781573	24.0	0.4022687960094936	1.428975	34.2954	0.5748
1256-001-Control	1CMET2-PWY	9b0453a40173db2b097ebe5897067ea8	65.0	1.0894779891923785	1.16916	75.9954	1.2738
1256-001-Control	1CMET2-PWY	9b5d55e07cb4eb78df62730f673d958b	36.0	0.6034031940142405	1.169161111111111	42.0898	0.7055
1256-001-Control	1CMET2-PWY	9d2ebc8c4ac3a6f18174aa049a4b86fb	40.0	0.6704479933491561	1.2990675	51.9627	0.871
1256-001-Control	1CMET2-PWY	9d991db85936698a606812f2198ee7a7	87.0	1.4582243855344144	0.9093471264367817	79.1132	1.326
1256-001-Control	1CMET2-PWY	9e229e8729a1f0db63b51bbb360fffb2	50.0	0.8380599916864448	0.77944	38.972	0.6532
1256-001-Control	1CMET2-PWY	a0acb9b1ad359df389cdf4d781ec8cbb	6.67	0.11179720289097177	1.169160419790105	7.7983	0.1307
1256-001-Control	1CMET2-PWY	a2ed192c8c3f297f2dfd51671a9f349e	70.0	1.1732839883610229	1.4289742857142858	100.0282	1.6766
1256-001-Control	1CMET2-PWY	a2f6a06a0a4b6b1d0e3d3108077e8bf2	62.0	1.0391943896911922	0.7794403225806451	48.3253	0.81
1256-001-Control	1CMET2-PWY	a67c81178f0ef2fcf6c93a6cb998b79a	117.0	1.9610603805462816	1.039253846153846	121.5927	2.038
1256-001-Control	1CMET2-PWY	aa6f68ad7c828a4c08417b7298d88380	16.0	0.2681791973396624	1.1691625	18.7066	0.3135
1256-001-Control	1CMET2-PWY	af0c5044f6f961742c20b42234f28eb4	8.56	0.1434758705767194	1.4289719626168222	12.232	0.205
1256-001-Control	1CMET2-PWY	b0dd7858ce2ee17171489ef1cf08719a	20.67	0.3464540005631764	1.1691582002902756	24.1665	0.4051
1256-001-Control	1CMET2-PWY	b6c489c21e5d0dc4e94680cabf3b259b	106.0	1.7766871823752637	1.1691603773584904	123.931	2.0772
1256-001-Control	1CMET2-PWY	b9834bdb6672de9f94b199e658db5932	116.0	1.9442991807125525	0.7794405172413793	90.4151	1.5155
