"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"9628d8845e27b2c55b11360e2ae050ab",0,6,21,11,1,1,0,0,2,14,0,3,0,1,52
"9f660814963191a6363a5861a09ce43d",0,0,0,0,0,0,0,4,0,0,0,4,0,19,96
"ad181ef93bd9052f54ea062b365a0140",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"7df759a1e9c7626391ea427ad1979245",0,0,0,11,4,0,0,0,0,0,0,2,0,0,0
"b89fa94eb6e176e6f0a173718f936fd2",0,0,0,0,0,0,0,5,0,0,0,2,0,0,174
"5322c0adece13a69a2cda5a04ed9343a",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"c6fc7406e49373bba1b63634c6427a19",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"2ef48d3058dfc5b04b8720b5739e01d9",0,2,0,0,0,0,6,1,0,0,0,5,0,9,0
"237a76e14a24b6525048bc14a7f4793a",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"9687dae3a6ee9d3785a8af2e7722e95b",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5d825dc1d04f86ad8dff6f4378d76455",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7622283b16744652ea1af5b8d9c8b9a8",4,0,14,0,0,0,2,6,2,0,0,4,7,37,0
"d6178e9dce642805ae19ef5a8d6b82dc",0,0,0,0,0,0,19,1,0,1,0,0,0,0,0
"af84ad730661f050a464e99bf87870d6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"a36571778a39902878f613e25ee3adc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"880d70df7bc8f5bbb4a880fedf4b6233",0,0,0,0,33,0,0,2,0,1,0,0,0,0,0
"efc148342bca3ef61e3b4e97759de904",4,0,0,0,0,0,0,5,4,0,0,0,1,0,0
"824795818bec4892a76db7551bfff481",0,4,0,13,0,11,0,2,0,0,0,15,0,0,0
"b134ee11aebbe1994aa70eced9924723",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"a4da06207c1d2e2d7b52e88660afdd6e",0,0,0,0,0,0,0,17,0,0,0,1,3,0,0
"a68f1d46ea803c55740e2b5f5738748b",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ba5426bbb6acb8f0bb388a3e49ba4b6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7dac54747ae9e868928755942e709d00",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
