sample_name_backup,expedition_number,BiologicalMatter,faith_pd,faith_SR
E3.5.Gal.astr.2.20150127.S,E3,Coral Skeleton,8.319450232,56
E3.6.Acr.hyac.1.20150105.M,E3,Coral Mucus,3.862616655,97
E3.6.Acr.hyac.1.20150105.S,E3,Coral Skeleton,3.09936661,59
E3.6.Acr.hyac.1.20150106.M,E3,Coral Mucus,2.885281783,42
E3.6.Acr.hyac.1.20150106.S,E3,Coral Skeleton,3.113941221,73
E3.6.Acr.hyac.1.20150106.T,E3,Coral Tissue,2.951019714,45
E3.6.Acr.hyac.1.20150118.M,E3,Coral Mucus,14.4320441,81
E3.6.Acr.hyac.1.20150118.S,E3,Coral Skeleton,0.936807623,20
E3.6.Acr.hyac.1.20150118.T,E3,Coral Tissue,8.511197475,61
E3.6.Acr.hyac.1.20150120.M,E3,Coral Mucus,9.349073814,146
E3.6.Acr.hyac.1.20150120.S,E3,Coral Skeleton,4.283109875,45
E3.6.Acr.hyac.1.20150121.M,E3,Coral Mucus,3.136914443,56
E3.6.Acr.hyac.1.20150121.S,E3,Coral Skeleton,2.348268074,29
E3.6.Acr.hyac.1.20150121.T,E3,Coral Tissue,1.708785018,34
E3.6.Acr.hyac.1.20150123.M,E3,Coral Mucus,4.006723178,94
E3.6.Acr.hyac.1.20150123.S,E3,Coral Skeleton,3.425339199,31
E3.6.Acr.hyac.1.20150123.T,E3,Coral Tissue,4.020769434,50
E3.6.Acr.hyac.2.20150105.M,E3,Coral Mucus,5.876136746,85
E3.6.Acr.hyac.2.20150105.S,E3,Coral Skeleton,2.338982798,39
E3.6.Acr.hyac.2.20150105.T,E3,Coral Tissue,1.827584234,40
E3.6.Acr.hyac.2.20150106.M,E3,Coral Mucus,3.833883138,76
E3.6.Acr.hyac.2.20150106.S,E3,Coral Skeleton,2.695528038,36
E3.6.Acr.hyac.2.20150106.T,E3,Coral Tissue,1.720197036,27
E3.6.Acr.hyac.2.20150120.M,E3,Coral Mucus,3.843309362,70
E3.6.Acr.hyac.2.20150120.S,E3,Coral Skeleton,4.538802244,40
E3.6.Acr.hyac.2.20150120.T,E3,Coral Tissue,4.052561095,45
E3.6.Acr.hyac.2.20150121.M,E3,Coral Mucus,4.705793415,79
E3.6.Acr.hyac.2.20150121.S,E3,Coral Skeleton,5.231943626,35
E3.6.Acr.hyac.2.20150123.M,E3,Coral Mucus,11.1901894,181
E3.6.Acr.hyac.2.20150123.S,E3,Coral Skeleton,1.707236522,23
E3.6.Acr.hyac.2.20150123.T,E3,Coral Tissue,2.956004275,49
E3.6.Acr.hyac.3.20150105.M,E3,Coral Mucus,8.918340225,125
E3.6.Acr.hyac.3.20150105.S,E3,Coral Skeleton,3.026029047,63
E3.6.Acr.hyac.3.20150105.T,E3,Coral Tissue,1.558878704,31
E3.6.Acr.hyac.3.20150106.T,E3,Coral Tissue,3.235560122,40
E3.6.Acr.hyac.3.20150120.M,E3,Coral Mucus,3.566059289,50
E3.6.Acr.hyac.3.20150120.S,E3,Coral Skeleton,1.85092384,20
E3.6.Acr.hyac.3.20150120.T,E3,Coral Tissue,2.511465689,54
E3.6.Acr.hyac.3.20150121.M,E3,Coral Mucus,1.405200751,34
E3.6.Acr.hyac.3.20150121.S,E3,Coral Skeleton,3.832070825,37
E3.6.Acr.hyac.3.20150121.T,E3,Coral Tissue,2.295470908,28
E3.6.Acr.hyac.3.20150123.M,E3,Coral Mucus,15.50662543,209
E3.6.Acr.hyac.3.20150123.S,E3,Coral Skeleton,1.284287967,24
E3.6.Acr.hyac.3.20150123.T,E3,Coral Tissue,5.767231109,75
E3.6.Acr.hyac.4.20150105.M,E3,Coral Mucus,2.553599453,40
E3.6.Acr.hyac.4.20150105.S,E3,Coral Skeleton,2.773255551,35
E3.6.Acr.hyac.4.20150105.T,E3,Coral Tissue,1.27688218,26
E3.6.Acr.hyac.4.20150106.S,E3,Coral Skeleton,3.405873664,52
E3.6.Acr.hyac.4.20150106.T,E3,Coral Tissue,1.721116726,24
E3.7.Pav.vari.1.20150124.M,E3,Coral Mucus,10.14961519,129
E3.7.Pav.vari.1.20150124.S,E3,Coral Skeleton,16.18601039,108
E3.7.Pav.vari.1.20150124.T,E3,Coral Tissue,8.450646628,37
E3.7.Pav.vari.1.20150127.M,E3,Coral Mucus,8.635569391,117
E3.7.Pav.vari.1.20150127.S,E3,Coral Skeleton,19.61870328,129
E3.7.Pav.vari.1.20150127.T,E3,Coral Tissue,14.89015064,62
E3.7.Pav.vari.2.20150124.M,E3,Coral Mucus,11.61645645,152
E3.7.Pav.vari.2.20150124.S,E3,Coral Skeleton,17.70569656,110
E3.7.Pav.vari.2.20150124.T,E3,Coral Tissue,11.74763721,61
E7.10.Poc.dami.1.20150621.M,E7,Coral Mucus,3.163920009,79
E7.10.Poc.dami.2.20150621.M,E7,Coral Mucus,10.81324818,123
E7.10.Poc.dami.2.20150621.S,E7,Coral Skeleton,6.750492152,59
E7.10.Poc.dami.3.20150621.M,E7,Coral Mucus,1.395417276,34
E7.10.Poc.dami.3.20150621.S,E7,Coral Skeleton,9.177096458,45
E7.10.Ser.cali.1.20150622.M,E7,Coral Mucus,3.174160078,60
E7.10.Ser.cali.1.20150622.S,E7,Coral Skeleton,7.916143151,58
E7.10.Ser.cali.2.20150622.M,E7,Coral Mucus,5.535005153,129
E7.10.Ser.cali.2.20150622.S,E7,Coral Skeleton,2.421627411,27
E7.10.Ser.cali.3.20150622.M,E7,Coral Mucus,5.396159081,117
E7.10.Ser.cali.3.20150622.S,E7,Coral Skeleton,6.462219129,29
E7.17.Cyp.micr.1.20150621.M,E7,Coral Mucus,11.5479542,166
E7.17.Cyp.micr.1.20150621.S,E7,Coral Skeleton,6.367420823,50
E7.17.Cyp.micr.2.20150621.M,E7,Coral Mucus,8.986158992,120
E7.17.Cyp.micr.2.20150621.S,E7,Coral Skeleton,15.59599099,139
E7.17.Cyp.micr.3.20150621.M,E7,Coral Mucus,1.946267971,49
E7.17.Cyp.micr.3.20150621.S,E7,Coral Skeleton,3.747675262,42
E7.17.Ech.lame.1.20150620.M,E7,Coral Mucus,14.36582152,132
E7.17.Ech.lame.1.20150620.S,E7,Coral Skeleton,9.656280496,61
E7.17.Ech.lame.1.20150620.T,E7,Coral Tissue,2.538270427,67
E7.17.Ech.lame.2.20150620.M,E7,Coral Mucus,2.168080577,45
E7.17.Ech.lame.2.20150620.S,E7,Coral Skeleton,21.11748401,184
E7.17.Ech.lame.2.20150620.T,E7,Coral Tissue,14.08115137,136
E7.17.Ech.lame.3.20150620.M,E7,Coral Mucus,25.80682631,230
E7.17.Ech.lame.3.20150620.S,E7,Coral Skeleton,12.0473514,86
E7.17.Ech.lame.3.20150620.T,E7,Coral Tissue,11.35519698,71
E7.17.Fav.abdi.1.20150623.M,E7,Coral Mucus,16.42305066,155
E7.17.Fav.abdi.1.20150623.S,E7,Coral Skeleton,24.87739214,199
E7.17.Fav.abdi.1.20150623.T,E7,Coral Tissue,18.87885929,95
E7.17.Fav.abdi.2.20150623.M,E7,Coral Mucus,0.857279721,17
E7.17.Fav.spA.1.20150623.M,E7,Coral Mucus,3.400992457,55
E7.17.Fav.spA.1.20150623.S,E7,Coral Skeleton,26.19059311,248
E7.17.Fav.spA.1.20150623.T,E7,Coral Tissue,5.857097103,42
E7.17.Fav.spA.2.20150623.M,E7,Coral Mucus,1.312573936,22
E7.17.Fav.spA.2.20150623.S,E7,Coral Skeleton,22.02215721,177
E7.17.Fav.spA.2.20150623.T,E7,Coral Tissue,5.480953203,48
E7.17.Fav.spB.1.20150623.M,E7,Coral Mucus,4.980956399,105
E7.17.Fav.spB.1.20150623.S,E7,Coral Skeleton,14.6237381,151
E7.17.Fav.spC.1.20150623.S,E7,Coral Skeleton,7.135761563,57
E7.17.Fav.spC.1.20150623.T,E7,Coral Tissue,3.402550163,50
E7.17.Gon.edwa.1.20150623.M,E7,Coral Mucus,1.83726039,35
E7.17.Gon.edwa.1.20150623.S,E7,Coral Skeleton,10.50797972,87
E7.17.Gon.edwa.1.20150623.T,E7,Coral Tissue,26.76382966,183
E7.17.Gon.edwa.2.20150623.M,E7,Coral Mucus,0.946404611,28
E7.17.Gon.edwa.2.20150623.T,E7,Coral Tissue,14.39157254,99
E7.17.Hyd.exce.1.20150620.M,E7,Coral Mucus,12.80298736,128
E7.17.Hyd.exce.1.20150620.S,E7,Coral Skeleton,11.81708893,128
E7.17.Hyd.exce.1.20150620.T,E7,Coral Tissue,13.53771819,70
E7.17.Hyd.exes.1.20150622.M,E7,Coral Mucus,13.40673732,154
E7.17.Hyd.exes.1.20150622.T,E7,Coral Tissue,3.560228162,24
E7.17.Hyd.exes.2.20150622.M,E7,Coral Mucus,2.624207681,31
E7.17.Hyd.exes.2.20150622.S,E7,Coral Skeleton,5.077033366,26
E7.17.Hyd.exes.2.20150622.T,E7,Coral Tissue,5.835022169,44
E7.17.Mer.ampl.1.20150621.M,E7,Coral Mucus,10.73911488,133
E7.17.Mer.ampl.1.20150621.T,E7,Coral Tissue,5.647442003,32
E7.17.Mer.ampl.2.20150621.T,E7,Coral Tissue,9.539966845,57
E7.17.Mer.ampl.3.20150621.M,E7,Coral Mucus,11.29987432,123
E7.17.Mer.ampl.3.20150621.T,E7,Coral Tissue,6.939567995,42
E7.17.Myc.elep.1.20150622.M,E7,Coral Mucus,11.78777458,126
E7.17.Myc.elep.1.20150622.S,E7,Coral Skeleton,14.32880748,127
E7.17.Myc.elep.1.20150622.T,E7,Coral Tissue,14.6737803,130
E7.17.Pla.sine.1.20150622.S,E7,Coral Skeleton,2.710978481,41
E7.17.Pla.sine.1.20150622.T,E7,Coral Tissue,4.475634432,29
E7.17.Pla.sine.2.20150622.M,E7,Coral Mucus,9.168483716,121
E7.17.Pla.sine.2.20150622.S,E7,Coral Skeleton,3.141217306,54
E7.17.Pla.sine.2.20150622.T,E7,Coral Tissue,5.598914758,31
E7.17.Pla.sine.3.20150622.M,E7,Coral Mucus,7.039339714,107
E7.17.Pla.sine.3.20150622.S,E7,Coral Skeleton,2.540640875,42
E7.17.Pla.sine.3.20150622.T,E7,Coral Tissue,5.200257533,26
E7.19.Lob.hemp.1.20150619.M,E7,Coral Mucus,13.53814532,156
E7.19.Lob.hemp.1.20150619.S,E7,Coral Skeleton,14.05915629,126
E7.19.Lob.hemp.1.20150619.T,E7,Coral Tissue,15.26361914,75
E7.19.Lob.hemp.1.20150621.M,E7,Coral Mucus,4.606295211,91
E7.19.Lob.hemp.1.20150621.S,E7,Coral Skeleton,12.49806932,93
E7.19.Lob.hemp.1.20150621.T,E7,Coral Tissue,28.35186863,216
E7.19.Lob.hemp.2.20150619.M,E7,Coral Mucus,15.24359486,139
E7.19.Lob.hemp.2.20150619.S,E7,Coral Skeleton,17.03367343,147
E7.19.Lob.hemp.2.20150619.T,E7,Coral Tissue,14.99147147,84
E7.3.Por.loba.1.20150619.M,E7,Coral Mucus,9.041656295,99
E7.3.Por.loba.1.20150619.S,E7,Coral Skeleton,9.827110186,81
E7.3.Por.loba.1.20150619.T,E7,Coral Tissue,5.974865048,43
E7.3.Por.loba.2.20150619.M,E7,Coral Mucus,2.528166856,46
E7.3.Por.loba.2.20150619.S,E7,Coral Skeleton,9.578381529,54
E7.3.Por.loba.2.20150619.T,E7,Coral Tissue,12.46254342,73
E7.3.Por.loba.3.20150619.M,E7,Coral Mucus,7.626742574,43
E7.3.Por.loba.3.20150619.S,E7,Coral Skeleton,6.401660994,54
E7.3.Por.loba.4.20150619.M,E7,Coral Mucus,1.639127313,57
E7.3.Por.loba.4.20150619.S,E7,Coral Skeleton,18.16694411,124
E7.3.Por.loba.4.20150619.T,E7,Coral Tissue,13.54380456,72
E7.5.Gal.astr.1.20150622.M,E7,Coral Mucus,5.213922017,98
E7.5.Gal.astr.1.20150622.S,E7,Coral Skeleton,6.67421021,56
E7.5.Gal.astr.1.20150622.T,E7,Coral Tissue,14.39578624,99
E7.5.Gal.fasc.1.20150621.M,E7,Coral Mucus,11.86321827,136
E7.5.Gal.fasc.1.20150621.S,E7,Coral Skeleton,22.31625983,171
E7.5.Gal.fasc.1.20150621.T,E7,Coral Tissue,30.45710442,228
E7.5.Gal.fasc.1.20150622.M,E7,Coral Mucus,3.05001975,44
E7.5.Gal.fasc.1.20150622.S,E7,Coral Skeleton,4.225824805,38
E7.5.Gal.fasc.1.20150622.T,E7,Coral Tissue,11.70487373,84
E7.6.Acr.hyac.1.20150622.M,E7,Coral Mucus,6.497600852,125
E7.6.Acr.hyac.1.20150622.S,E7,Coral Skeleton,3.294102845,57
E7.6.Acr.hyac.1.20150622.T,E7,Coral Tissue,2.61032129,49
E7.6.Acr.hyac.2.20150622.M,E7,Coral Mucus,5.227409572,99
E7.6.Acr.hyac.2.20150622.S,E7,Coral Skeleton,2.820516178,49
E7.6.Acr.hyac.2.20150622.T,E7,Coral Tissue,1.773923219,48
E7.6.Acr.hyac.3.20150622.M,E7,Coral Mucus,4.561200593,116
E7.6.Acr.hyac.3.20150622.S,E7,Coral Skeleton,0.984440511,30
E7.6.Acr.hyac.3.20150622.T,E7,Coral Tissue,4.168924825,47
E7.6.Mon.aequ.1.20150620.M,E7,Coral Mucus,2.93533025,87
E7.6.Mon.aequ.1.20150620.S,E7,Coral Skeleton,4.536572462,29
E7.6.Mon.aequ.1.20150620.T,E7,Coral Tissue,3.385554195,42
E7.6.Mon.aequ.2.20150620.M,E7,Coral Mucus,5.793140278,106
E7.6.Mon.aequ.2.20150620.S,E7,Coral Skeleton,2.344393362,34
E7.6.Mon.aequ.2.20150620.T,E7,Coral Tissue,9.978885827,77
E7.6.Mon.aequ.3.20150620.M,E7,Coral Mucus,3.539308696,69
E7.6.Mon.aequ.3.20150620.S,E7,Coral Skeleton,2.985978217,60
E7.6.Mon.aequ.3.20150620.T,E7,Coral Tissue,9.99505113,131
E7.6.Mon.aequ.4.20150620.M,E7,Coral Mucus,0.832996145,34
E7.6.Mon.aequ.4.20150620.S,E7,Coral Skeleton,2.622158415,52
E7.6.Mon.aequ.4.20150620.T,E7,Coral Tissue,18.25872284,152
E7.7.Pav.vari.1.20150622.M,E7,Coral Mucus,8.192774309,135
E7.7.Pav.vari.1.20150623.M,E7,Coral Mucus,0.599839293,11
E7.7.Pav.vari.1.20150623.S,E7,Coral Skeleton,7.98733025,53
E7.7.Pav.vari.1.20150623.T,E7,Coral Tissue,29.09574043,234
E7.7.Pav.vari.2.20150622.M,E7,Coral Mucus,4.297309355,78
E7.7.Pav.vari.2.20150622.S,E7,Coral Skeleton,17.66852184,123
E7.7.Pav.vari.2.20150622.T,E7,Coral Tissue,11.5057598,55
