"id","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","ci.mean","SE","zstat","p_value","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"3da0ff6fb7c39996320aeab758bc7452",0.000388888888888889,0.0555555555555556,0.0168045142139893,0.00516888435802486,0.0532314783284239,0.322241687467051,0.267583344032896,0.382238112076782,"above",0.048062593970399,0.0122608658087753,4.53112825978356,7.58175194418775e-06,0.00534513512065237,"d__Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA
"04e0366caebbc4f7efa1a8a46523f00d",0.000392857142857143,0.0277777777777778,0.0169746807757646,0.00524932970297905,0.0534826353629703,0.324926922793355,0.270106178977078,0.385005110182708,"neutral",0.0482333056599912,0.0123044147091814,2.25754563986292,0.0237824028634139,16.7665940187068,"d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"8a5df9db2587857f45cb082a8ee1c68b",0.000392857142857143,0.0396825396825397,0.0169746807757646,0.00524932970297905,0.0534826353629703,0.324926922793355,0.270106178977078,0.385005110182708,"neutral",0.0482333056599912,0.0123044147091814,3.22506519980418,0.00130806452759196,0.922185491952331,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group",NA,NA
"961a31900b5eeb8161c6268ab109bb7e",0.000392857142857143,0.0198412698412698,0.0169746807757646,0.00524932970297905,0.0534826353629703,0.324926922793355,0.270106178977078,0.385005110182708,"neutral",0.0482333056599912,0.0123044147091814,1.61253259990209,0.106682877098947,75.2114283547574,"d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA
"26f2f03921a766faf144656dc967e175",0.000396825396825397,0.0674603174603175,0.0171448210215481,0.00533009347250712,0.0537334226911547,0.327601529984697,0.272621127281648,0.387759057821157,"above",0.0484033292186476,0.0123477880659815,5.46335239152446,8.05745562962767e-08,5.6805062188875e-05,"d__Bacteria","Desulfobacterota","Unclassified Desulfobacterota","Unclassified Desulfobacterota","Unclassified Desulfobacterota",NA,NA
"8255f420e12e1c09ed5c7d2a69d25b10",0.000396825396825397,0.0198412698412698,0.0171448210215481,0.00533009347250712,0.0537334226911547,0.327601529984697,0.272621127281648,0.387759057821157,"neutral",0.0484033292186476,0.0123477880659815,1.60686835044837,0.107932701551236,76.0925545936217,"d__Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae",NA,NA
"8fd22aa7d1572f98191c233964af4a90",0.000396825396825397,0.103174603174603,0.0171448210215481,0.00533009347250712,0.0537334226911547,0.327601529984697,0.272621127281648,0.387759057821157,"above",0.0484033292186476,0.0123477880659815,8.35571542233153,6.08625992350982e-16,4.29081324607443e-13,"d__Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA
"bfeb858b8397fcd27ff954e673ce1156",0.000404761904761905,0.00396825396825397,0.0174850225782858,0.00549256184868241,0.0542339026906594,0.332919027892943,0.277627371296687,0.393228125188837,"below",0.048741340841977,0.0124340155209125,0.319145006822603,0.762465482323026,537.538165037733,"d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Unclassified Micrococcales",NA,NA
"15275bc9622ccad8cebb49de0fb958d6",0.000408730158730159,0.0317460317460317,0.0176550838958129,0.00557425939741299,0.0544836024327048,0.335562002160728,0.280118672405277,0.395943404112677,"neutral",0.0489093430352918,0.0124768732232887,2.54439002287658,0.0109165137726671,7.69614220973033,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA
"3a32f544af243be1aebef6212c54b95f",0.000408730158730159,0.0595238095238095,0.0176550838958129,0.00557425939741299,0.0544836024327048,0.335562002160728,0.280118672405277,0.395943404112677,"above",0.0489093430352918,0.0124768732232887,4.77073129289358,2.52637977811546e-06,0.0017810977435714,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA,NA
"bfb26c4a8eaf3e72b1774997e2d5cc47",0.000412698412698413,0.0357142857142857,0.0178251189104939,0.00565626125170483,0.0547329466130179,0.338194515396619,0.282602097618072,0.398645951013255,"neutral",0.0490766853613131,0.0125195625921717,2.85267839442069,0.00438009702965715,3.08796840590829,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",NA,NA
"0e138716696c389a7969cda07c413ede",0.000416666666666667,0.111111111111111,0.0179951276256146,0.00573856403591888,0.0549819386136411,0.340816608964651,0.285077651253867,0.401335843057687,"above",0.0492433745777222,0.0125620853514597,8.84495750526005,1.29313612072828e-17,9.11660965113434e-15,"d__Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22",NA,NA
"202a1fb984efc04249ddd274b9d4bebf",0.000416666666666667,0.0317460317460317,0.0179951276256146,0.00573856403591888,0.0549819386136411,0.340816608964651,0.285077651253867,0.401335843057687,"neutral",0.0492433745777222,0.0125620853514597,2.52713071578858,0.0114623122667795,8.08093014807955,"d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae",NA,NA
"9ab2172cc7a35d7f130d9fcb04085e8d",0.000416666666666667,0.0555555555555556,0.0179951276256146,0.00573856403591888,0.0549819386136411,0.340816608964651,0.285077651253867,0.401335843057687,"above",0.0492433745777222,0.0125620853514597,4.42247875263002,1.22844332604503e-05,0.00866052544861748,"d__Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA,NA
"18c3ebaae0add40bb694269a6805c306",0.000428571428571429,0.0714285714285714,0.0185049960064714,0.00598724508281284,0.0557268344866792,0.348620782854889,0.292457134820105,0.4093303479717,"above",0.0497395894038664,0.0126886707662924,5.62931868469013,3.32589910092606e-08,2.34475886615287e-05,"d__Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59","AT-s2-59",NA,NA
