"Feature ID"	"Taxon"	"Consensus"
"2e4279d452925c20df4c7780572839d6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Aquaspirillaceae"	0.8
"2e6a146bc015ff864cef6dd6ab5ed043"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermacoccaceae; g__Dermacoccus"	0.8
"2eaccc904ea91ba3a92e5b63d9e2f8a5"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales"	1
"2eb9f4e6c8a08a211d016177b3b52a52"	"d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peregrinibacteria; f__Candidatus_Peregrinibacteria; g__Candidatus_Peregrinibacteria"	0.7
"2f63b9435f0a1a2ecb25f7a676bb4ba4"	"d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Parcubacteria; f__Parcubacteria; g__Parcubacteria"	0.6
"2f68e1ec33d593c075094cb3b0c64dc4"	"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Vampirovibrionales; f__Vampirovibrionales; g__Vampirovibrionales; s__uncultured_bacterium"	0.6
"2fb3778ee5c0f748fd51aa44ac0624b8"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Fusibacteraceae; g__Fusibacter; s__uncultured_bacterium"	0.6
"30412c90733bf5065b41d8dfdbeead3d"	"d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__SCGC_AAA011-D5; g__SCGC_AAA011-D5"	0.9
"3079c2d1e54d5f5bb9d8a1375a9121f5"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Entomoplasmatales; f__Entomoplasmatales_Incertae_Sedis; g__Candidatus_Hepatoplasma"	1
"30e33c48c04b5b0caeb97ce7dbb54237"	"d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_bacterium"	0.9
"30f938901283f0436abb73deac3fa91a"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Paracaedibacterales; f__Paracaedibacteraceae; g__Candidatus_Paracaedibacter"	1
"3238534375fc5f2282496c63a5a01173"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Arctic95B-14; g__Arctic95B-14"	0.7
"32d4a002a620736a1b31606291f0fe61"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_IV; g__Clade_IV; s__uncultured_bacterium"	0.6
"3349a475c3242a761c89613875845db0"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus"	1
"33afd7730d723e8dfc768b234155d065"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea"	0.9
"34d872530a6cd244a0f67e51442615c9"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae"	0.7
"3541ebf667fd33917fe5a6fc31ec0acf"	"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__uncultured; f__uncultured; g__uncultured; s__uncultured_archaeon"	0.9
"3558a7570b309fb3559aca571ae494e4"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Salinisphaeraceae; g__Salinisphaera"	1
"35c0f83565e2f7386b5b86f02a76a047"	"d__Bacteria; p__WPS-2; c__WPS-2; o__WPS-2; f__WPS-2; g__WPS-2; s__uncultured_bacterium"	0.7
"3627437fc56fbaebf8a7033154045af3"	"d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__Aminicenantales; g__Aminicenantales; s__uncultured_bacterium"	0.9
"36bb4290a765a6110cf9eaf9bf81d3ab"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas"	1
"36c80c297e6368debdd95f0e11df361c"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces"	1
"3768bb81d0b20e13d169b0d6b55ddbe4"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__uncultured; f__uncultured; g__uncultured"	0.9
"389424a453091776937b0630beb8e16e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae"	1
"393dc63912a7591c868a2bb2fc1d02a0"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Marinomonadaceae; g__Marinomonas"	1
"39490a4c09afde38383a92e63a79d59e"	"d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__MSB-3C8; g__MSB-3C8"	1
"396c42d37a3c25579ab54ebbe51f035f"	"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"	0.6
"39b4fbf342fc2760d008213b91571d1b"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Thalassobaculales; f__Thalassobaculaceae; g__Thalassobaculum"	0.8
"3a0e47358f04433ea213984c91a9cc60"	"d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__Oligoflexales"	1
"3a32f544af243be1aebef6212c54b95f"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia"	0.8
"3a68c8c059546eca8150917cb11b58db"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__PS1_clade; g__PS1_clade; s__uncultured_bacterium"	0.7
"3aadc80ecd2580f85f664f3c1f847933"	"d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas"	0.6
"3af55880edabdd07e33a5b5734e0e2a7"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__BD2-3; g__BD2-3"	1
"3bd9ea72ad1ae18ac16b6d43eed57c1d"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Euzebyales; f__Euzebyaceae; g__uncultured; s__uncultured_bacterium"	0.8
"3bf994fe9f3bd8e2eaf9d581c69e0c79"	"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__uncultured_bacterium"	0.7
"3c3014528b80a41fe6c3ac1f5d047af4"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales"	1
"3c33c400cf653264124b933c4f68d680"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__uncultured; s__uncultured_bacterium"	0.8
"3c8c7470e81bf55595bdf98e274b7714"	"d__Bacteria; p__Planctomycetota; c__Phycisphaerae"	1
"3d1dd21cbf858f9f70dc5ad72dbfe1e3"	"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales; s__uncultured_bacterium"	0.8
"3d1faef9307f7d031daef23938fa9452"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Beggiatoales; f__Beggiatoaceae"	1
"3d3241f8f465f839de5eb08f7c418887"	"d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__uncultured; s__uncultured_bacterium"	0.9
"3da0ff6fb7c39996320aeab758bc7452"	"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Acanthopleuribacterales; f__Acanthopleuribacteraceae; g__Acanthopleuribacter; s__uncultured_bacterium"	0.8
"3de9dbd5930dc9dfd5b3f01005d53fa0"	"d__Bacteria; p__Acetothermia; c__Acetothermiia; o__Acetothermiia; f__Acetothermiia; g__Acetothermiia; s__uncultured_bacterium"	0.7
"3e346cf2c4fb6706871bf666c663f98b"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Actinomycetospora"	1
"3e7b67fd84ea17c5626ad00d6245b7ba"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae"	0.6
"40d929f9df0f7d111aaeef63e15a4e4a"	"d__Bacteria; p__Actinobacteriota; c__MB-A2-108; o__MB-A2-108; f__MB-A2-108; g__MB-A2-108; s__uncultured_bacterium"	1
"40fcb34418f26323312c80565596f7bf"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus"	1
"41146e96ff8ae6fe7718bf71341267a4"	"d__Bacteria; p__Latescibacterota; c__Latescibacteria; o__Latescibacterales; f__Latescibacteraceae; g__Latescibacteraceae; s__uncultured_bacterium"	0.9
"4177ae8ad0b9dcb12d19e1e053eaf12d"	"d__Bacteria; p__Nitrospinota; c__P9X2b3D02; o__P9X2b3D02; f__P9X2b3D02; g__P9X2b3D02; s__uncultured_bacterium"	0.9
"41c746bbab2a972a8dd5c07600cf495e"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Idiomarina"	1
"423784d265db839315a015f5a52dd560"	"d__Bacteria; p__Gemmatimonadota; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae; g__Longimicrobium; s__uncultured_bacterium"	0.6
"42672d31c50315d865cd6413b3f8a6cb"	"d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__WX65; g__WX65; s__uncultured_bacterium"	0.8
"428485f78a3a628438ed2084c31f070f"	"d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Bradymonadales; f__Bradymonadales; g__Bradymonadales"	0.8
"42b81af5947a4567de4c1b6205a8c0e9"	"d__Bacteria; p__Desulfobacterota; c__Desulfobulbia; o__Desulfobulbales; f__Desulfocapsaceae"	1
"4323fd8a62ddebee68c0d643c7858022"	"d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Rokubacteriales; f__Rokubacteriales; g__Rokubacteriales; s__uncultured_bacterium"	0.9
"43b9a2f72497dbb1f4bc93f195db2fdc"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Terriglobus"	1
"44e527cdc74c4be4c5d5eecf6c76a9ea"	"d__Bacteria; p__Chloroflexi"	1
"45e1b802a925c91d860ee9704179b556"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__B2M28; f__B2M28; g__B2M28"	0.9
"45f9fce45129787483dcc21f3e9ea937"	"d__Bacteria; p__Planctomycetota; c__Pla3_lineage; o__Pla3_lineage; f__Pla3_lineage; g__Pla3_lineage; s__uncultured_bacterium"	0.6
"46a46632f20d72fa64c99ebcb9abd2be"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales"	0.8
"47aacd736b3a09dd25b06135850f60a0"	"d__Bacteria; p__Chloroflexi; c__TK17; o__TK17; f__TK17; g__TK17; s__uncultured_Chloroflexi"	0.6
"4a5f5e0ccf854e4823be101feaac80d9"	"d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Desulfuromonadia; f__Desulfuromonadaceae"	0.7
"4aeb5ec9c13a0378e432157743ac2c4c"	"d__Bacteria; p__Acidobacteriota; c__Subgroup_26; o__Subgroup_26; f__Subgroup_26; g__Subgroup_26; s__uncultured_bacterium"	1
