"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"E10.17.Gon.favu.2.20150630.S_below","E10.17.Gon.favu.2.20150630.S","Goniastrea favulus","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.17.Mon.curt.3.20150629.S_below","E10.17.Mon.curt.3.20150629.S","Astrea curta","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Aca.hill.1.20150629.S_below","E10.Aca.hill.1.20150629.S","Acanthastrea hillae","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Aca.hill.2.20150629.S_below","E10.Aca.hill.2.20150629.S","Acanthastrea hillae","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Aca.hill.3.20150629.S_below","E10.Aca.hill.3.20150629.S","Acanthastrea hillae","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Acr.cyth.1.20150627.S_below","E10.Acr.cyth.1.20150627.S","Acropora cytherea","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Acr.cyth.2.20150627.S_below","E10.Acr.cyth.2.20150627.S","Acropora cytherea","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Acr.cyth.3.20150627.S_below","E10.Acr.cyth.3.20150627.S","Acropora cytherea","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Acr.pali.2.20150627.S_below","E10.Acr.pali.2.20150627.S","Isopora palifera","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Acr.pali.3.20150627.S_below","E10.Acr.pali.3.20150627.S","Isopora palifera","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Alv.alli.2.20150628.S_below","E10.Alv.alli.2.20150628.S","Alveopora allingi","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Alv.alli.3.20150628.S_below","E10.Alv.alli.3.20150628.S","Alveopora allingi","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Mon.curt.1.20150629.S_below","E10.Mon.curt.1.20150629.S","Astrea curta","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Poc.dami.1.20150628.S_below","E10.Poc.dami.1.20150628.S","Pocillopora damicornis","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Poc.dami.2.20150628.S_below","E10.Poc.dami.2.20150628.S","Pocillopora damicornis","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Por.hero.1.20150628.S_below","E10.Por.hero.1.20150628.S","Porites heronensis","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Por.hero.2.20150628.S_below","E10.Por.hero.2.20150628.S","Porites heronensis","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E10.Por.hero.3.20150628.S_below","E10.Por.hero.3.20150628.S","Porites heronensis","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
