"id","1256-004-C118-S","1256-007-C119-S","1256-010-C120-S","1256-013-C121-S","1256-016-C122-S","1256-020-C123-S","1256-023-C127-S","1256-026-C128-S","1256-029-C129-S","1256-035-C133-S","1256-041-C143-S","1256-044-C144-S","1256-047-C145-S","1256-050-C148-S","1256-054-C149-S","1256-057-C150-S","1256-060-C151-S","1256-063-C152-S","1256-065-C153-S"
"324957722871201f6ff98d964ea373e0",0,0,0,0,12,17,0,15,32,0,0,0,6,0,0,0,0,0,0
"f7cd0a63710f8b0de7928a17dbb6a28a",0,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"52bffd3f6a8f05f0ee4a5825219b5d2b",0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,4
"58627f295cfeeb8dfd97b5b71cdb580e",0,0,0,0,0,0,4,0,0,0,0,0,0,4,41,0,9,53,8
"95061faa18f66c44ed10d67165f9c428",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,58,3,0
"3196be44fd3f4225ac7ebfa745ab1d1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"dec777817424efcb5d3ad377c93d095a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"36b430043343f6b6e3344a5b853d2156",0,0,0,0,0,0,1,0,3,0,0,0,0,8,15,0,0,0,0
"598cd9c4e4678f05450ff2038f821867",0,0,1,0,9,0,15,1,49,0,0,0,8,12,21,0,12,23,5
"fda686e6f00f5e69e7e6b486cef199f9",1,0,0,6,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0
"b20e327443fc3315a58a70aa0467b459",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"081ddc53f6fddc4020adc5dd5735b180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"e6f45ee979f9ec19686cb606cba80e1a",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
"0880e065496129ba7373b8293d8be7bb",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"eb5ea4a50b4a1d5d5b36727f4f5d40e4",25,4,42,36,0,29,0,0,0,0,0,43,1,0,2,2,0,0,0
"acbfa4c47262e8386d61c5419690e687",0,10,0,0,0,25,0,0,0,0,0,10,0,0,0,20,0,0,2
"32593c188d092be816e6cf908c45349a",16,61,31,0,0,0,0,0,0,0,0,23,0,0,6,24,0,0,0
"33b095548f551fc526b6324840c4d446",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bef3f37939a75fb7e6a24edcaa3e5b9c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"d8186cbf971dbc9a54ffa7614e8a8304",0,0,0,2,5,0,0,0,0,12,0,0,0,0,0,0,9,0,0
"a1f29943198926518bba3358685baaae",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0
"26b527d4c58a6970c17903a15080817e",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"16c0e326171953ad5fb96ddb5132965d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"b825282711b56d7c7fa1dbc384b611f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"79611df6cc083922f67ef1c8d1de3177",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec7c78346cddfe6e25e53bef251744a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"98091d93d24c59537e5bbd183acf0e31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"48e26792aa19b05a614d2f4e429353dc",0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"7414de07e246b3e087855c7899ba1504",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ea5335360c4b8596e8bd0ec3210c881c",0,0,0,18,0,3,0,1,0,25,0,0,0,0,0,0,0,0,0
"04e0366caebbc4f7efa1a8a46523f00d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"16b867871e1c8cc5a236385293fc9079",20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0
"f7af87e718db0529e80dbfaf37440785",1,65,4,0,260,13,0,0,0,34,0,0,0,0,25,0,174,0,0
"82aac76b217ac51b1eed1f90fdc0a4c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"57b03a919fa5cdb4f075c7503eaeae64",0,0,0,0,0,0,2,0,0,0,0,0,0,25,7,0,0,12,0
"872db99b78891fbbda41a5faefd833d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"9d51410c6fa1f388a7e19659389b8b64",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33f84101e50b4032b0513606797eff7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"bf218536d7ea486a566dc3ec0ee60096",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c5775a06beeae4a360ee9ede9489b3bc",0,0,0,0,0,0,57,20,3,20,0,0,13,21,18,0,0,0,2
"01acfa19e0e91940e8321058869617b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
"9483ffbc19152f4c400bd0a8429fc3ab",0,0,0,0,0,0,50,26,6,0,0,0,0,55,22,0,12,0,11
"30ed5d0aab5509dd7b093ace4d0f6b78",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"690048c0915f9c9fc098e1d450b3b199",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
"bd7d48a25b5d88394501914cf8f182e5",0,0,0,0,0,0,0,16,1,0,0,0,0,0,5,0,0,0,1
"330f16b1334fd87496ffba30328f8dc3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"4f31b2992ecaae7c9cea41fa29ebeb63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"c2f32c99096e65bbdca936fbbb09d6c0",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"a51f228bd8a460f651a76ccc216f50c5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"44e527cdc74c4be4c5d5eecf6c76a9ea",0,0,0,0,0,0,13,1,0,0,0,0,0,25,0,0,0,0,0
"09ae91752863910f83dd725cdd4ac3c0",0,0,0,0,0,0,17,0,2,0,0,0,1,24,0,0,0,0,2
"688a491041ff17d9c0676dcb00f11f6d",0,0,0,0,0,0,16,1,0,0,0,0,0,3,0,0,0,0,0
"a66c6bac627c439cb4ca2141b4b1c715",0,0,0,0,0,0,96,278,167,0,1,0,29,16,10,0,2,0,11
"b6dd5ce144bd69e9367f3e5dc229cd1f",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"aaf2afaad7238e14cc9fa3a74163bfc3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"c7915487cceddc48b7635f6cd6e94e58",0,0,0,0,0,0,6,0,0,0,0,0,1,17,2,0,0,0,0
"19bd2b688f47e15f1de5676d1791d8ec",0,0,0,0,0,0,11,0,3,0,0,0,0,0,1,0,0,0,0
"d9b46dc201ec432a8ad7e2c7f2789786",0,0,0,0,0,0,39,25,9,0,0,0,1,36,17,0,0,0,0
"5dc85a91dc758c8377f43b33a013ee51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"f129acc23d04a2c99cb739007b6e8a82",0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0
"be550d233dfe3f1577bbbbcd77f3f5d7",48,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
"2de2f5388716442dbc0eab0a6de0f49d",0,0,0,0,0,0,3,2,0,0,0,0,0,3,2,0,0,0,0
"1c6084f2eb7f208a928d27bf3e537442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0
"3e7b67fd84ea17c5626ad00d6245b7ba",0,0,0,0,0,0,8,13,10,0,0,0,0,9,0,0,0,0,1
"5428e3fa819a55ba8de70f9b270bbade",0,0,0,0,0,0,9,0,4,0,0,0,2,0,5,0,0,0,2
"af3dc1f9018833b1393ddecd07a0457f",0,0,0,0,0,0,38,40,29,0,0,0,7,2,3,0,1,0,0
"8294b701d857273eec2b27c1efeac99a",0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
"e81b03f45337ed362d3e29d2e5bc632b",0,0,0,0,0,0,24,13,0,0,0,0,4,18,6,0,0,0,3
"eb1a034783a0ee6cc08f7e180cb9075c",38,0,48,0,3,0,0,0,0,0,0,8,0,2,0,0,0,0,0
"35d936fa1fb5e6d04455946374c22e50",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8cd655c79288661b43702f8fb42ca734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"6cff0049edabba4bb3b7a1f94b00e5ff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8b22c291c92263c3d217abbf112d5f2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7ff0574fc5357cb96094337e8eaf00c0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"e7bfe6fb54722e1a84646cc0d8db51fe",0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0
"e6f3420af07cc1e3ea43eca67b51d793",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"d3b3b8f8f4fd59d41cb5fe190569bdda",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
"ab52e55144dc56cd25135c4589c7dd67",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3c3014528b80a41fe6c3ac1f5d047af4",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"460edfef2ba240a17872863677d6c13e",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1
"14f5ff1c5e928943bf34474ffb1a5f8c",0,0,0,0,0,0,6,29,2,0,0,0,0,0,0,0,0,4,14
"f76be22f6b41745a1455d17867ba9d82",0,0,0,0,0,0,16,11,28,0,0,0,0,4,0,0,0,0,16
"b801d501f4e084adc1e34ec36e439789",0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"601801deb789e8f66b41edb3b0b54e38",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
