"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-012-C121-M","1256-019-C123-M","1256-022-C127-M","1256-025-C128-M","1256-028-C129-M","1256-040-C143-M","1256-043-C144-M","1256-046-C145-M","1256-049-C148-M","1256-056-C150-M","1256-059-C151-M","1256-062-C152-M","1256-064-C153-M"
"510830d03088f5215a7953425355878d","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,0,0,0,0,0,0,0,0,10,0
"25b667eb751536e44e8efda6b73ac68a","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group","Unclassified  NS2b_marine_group",0,0,0,0,0,0,0,0,34,0,0,0,0
"468d62687f32e9d9f9c6ffe2eed86e53","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Aquibacter uncultured_bacterium",0,0,0,0,0,0,1,0,0,0,0,0,0
"698fed174fb88dd11b364b70f1275073","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,6,0,0,0,0,0,0,0,0
"e032c0fd66583b81c680ce175b7a6ebc","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Aquibacter uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,1,0
"36a32361a0fad22ed167f1890a642bff","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Unclassified  Aquibacter",0,0,0,0,0,0,0,0,0,0,0,4,0
"e3dd342a9dc2b5ec10e0b8bddbb60e50","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter","Unclassified  Aquibacter",0,0,0,0,0,0,0,0,0,0,0,12,0
"7d26b0cbdfa321cb98badb4075bcb77e","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Unclassified  Balneola",3,0,0,0,0,0,0,0,0,0,0,0,0
"e40e6ae2061a096f34ffcd587fe7a9f4","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Unclassified  Balneola",0,0,0,0,0,0,0,0,22,0,0,0,0
"5a3aa6867d9535167a58e37fef8c075a","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Unclassified  Balneola",0,0,0,3,0,0,0,0,0,0,0,0,0
"3709aa08ec7ef1e343c5ed751594469c","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,0,0,2,0,0,0,0,0,0
"3b91e2939e867c008f782ebd7a34f026","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,3,0,0,0,0,0,0,0,0,0,0
"50e2f16ff4a3fcb9450af9ff7661f3e3","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,3,0,0,0,0,0,0,0,0
"1812ec242e88b0f78b75cb6fc9028491","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,0,0,0,0,0,0,0,0,4
"b8db04af0f451421cc86976b1c059ad3","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,0,11,0,0,0,0,0,0,0
"217df94c25108995fab1e68016273c40","d__Bacteria","Bacteroidota","Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia","Unclassified Bacteroidia",0,0,0,0,0,11,7,0,0,0,0,0,0
"f1aeaeb3c73ee18cd99d300989d7089b","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales",0,0,0,0,0,8,0,0,0,0,0,0,0
"972d5a48031f2b84ccaa6b95ec0e049f","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,5
"9afe23377635fddee35fd2c6fe1036b3","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,2,0,0,0,0,0,0,0,0,0,0
"5a99eb44f6d626db41b5649519cc8a08","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,0,0,0,1,0,0,0,0,0,0,0
"1191365a5129d6239262b9259cc0a972","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,0,0,0,1,0,0,0,0,0,0,0
"afecf31b933bf49b2cf01a360dc48dc3","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae","Flammeovirga","Unclassified  Flammeovirga",0,0,0,0,2,0,0,0,0,0,0,0,0
"89b7970abe33b2b04dcb4f88bce2c215","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae",0,0,7,0,0,0,0,0,0,0,0,0,0
"5cd21d5aae0d7a3b25cf4612ed82b0ef","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","Unclassified  Marinoscillum",0,0,0,0,0,0,0,0,0,0,0,0,20
