pseudo_sampleID	expedition_number	host_scientific_name	neutrality	compartment	compartment_neutrality
E10.10.Sty.pist.2.20150630.T_above	E10	Stylophora pistillata	above	Tissue	Tissue_above
E10.17.Fav.abdi.1.20150630.T_above	E10	Favites abdita	above	Tissue	Tissue_above
E10.17.Gon.favu.1.20150629.T_above	E10	Goniastrea favulus	above	Tissue	Tissue_above
E10.17.Gon.favu.1.20150630.T_above	E10	Goniastrea favulus	above	Tissue	Tissue_above
E10.17.Gon.favu.2.20150630.T_above	E10	Goniastrea favulus	above	Tissue	Tissue_above
E10.17.Mon.curt.3.20150629.T_above	E10	Astrea curta	above	Tissue	Tissue_above
E10.Acr.cyth.1.20150627.T_above	E10	Acropora cytherea	above	Tissue	Tissue_above
E10.Acr.cyth.2.20150627.T_above	E10	Acropora cytherea	above	Tissue	Tissue_above
E10.Acr.cyth.3.20150627.T_above	E10	Acropora cytherea	above	Tissue	Tissue_above
E10.Acr.pali.2.20150627.T_above	E10	Isopora palifera	above	Tissue	Tissue_above
E10.Acr.pali.3.20150627.T_above	E10	Isopora palifera	above	Tissue	Tissue_above
E10.Alv.alli.1.20150628.T_above	E10	Alveopora allingi	above	Tissue	Tissue_above
E10.Alv.alli.2.20150628.T_above	E10	Alveopora allingi	above	Tissue	Tissue_above
E10.Alv.alli.3.20150628.T_above	E10	Alveopora allingi	above	Tissue	Tissue_above
E10.Cyp.micr.1.20150627.T_above	E10	Cyphastrea microphthalma	above	Tissue	Tissue_above
E10.Fav.abdi.1.20150629.T_above	E10	Favites abdita	above	Tissue	Tissue_above
E10.Mon.curt.1.20150629.T_above	E10	Astrea curta	above	Tissue	Tissue_above
E10.Mon.curt.2.20150629.T_above	E10	Astrea curta	above	Tissue	Tissue_above
E10.Poc.dami.1.20150628.T_above	E10	Pocillopora damicornis	above	Tissue	Tissue_above
E10.Poc.dami.2.20150628.T_above	E10	Pocillopora damicornis	above	Tissue	Tissue_above
E10.Por.hero.1.20150628.T_above	E10	Porites heronensis	above	Tissue	Tissue_above
E10.Por.hero.2.20150628.T_above	E10	Porites heronensis	above	Tissue	Tissue_above
E10.Por.hero.3.20150628.T_above	E10	Porites heronensis	above	Tissue	Tissue_above
E10.Sty.pist.1.20150628.T_above	E10	Stylophora pistillata	above	Tissue	Tissue_above
E3.11.Fun.sp.1.20150125.T_above	E3	Fungia sp	above	Tissue	Tissue_above
E3.11.Fun.sp.1.20150127.T_above	E3	Fungia sp	above	Tissue	Tissue_above
E3.11.Fun.sp.2.20150125.T_above	E3	Fungia sp	above	Tissue	Tissue_above
E3.14.Phy.lich.1.20150129.T_above	E3	Physogyra lichtensteini	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150105.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150106.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150118.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150120.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150121.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.1.20150123.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.2.20150105.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.2.20150106.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.2.20150119.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.2.20150121.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.3.20150105.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.3.20150106.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.3.20150120.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.3.20150121.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.3.20150123.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.4.20150105.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.15.Dip.heli.4.20150106.T_above	E3	Diploastrea heliopora	above	Tissue	Tissue_above
E3.17.Ech.horr.1.20150123.T_above	E3	Echinopora horrida	above	Tissue	Tissue_above
E3.17.Ech.mamm.1.20150123.T_above	E3	Echinopora mammiformis	above	Tissue	Tissue_above
E3.17.Ech.mamm.1.20150127.T_above	E3	Echinopora mammiformis	above	Tissue	Tissue_above
E3.2.Tur.reni.1.20150127.T_above	E3	Turbinaria reniformis	above	Tissue	Tissue_above
E3.3.Por.cyli.1.20150123.T_above	E3	Porites cylindrica	above	Tissue	Tissue_above
E3.3.Por.cyli.1.20150127.T_above	E3	Porites cylindrica	above	Tissue	Tissue_above
E3.3.Por.cyli.2.20150123.T_above	E3	Porites cylindrica	above	Tissue	Tissue_above
E3.4.Pac.rugo.1.20150127.T_above	E3	Pachyseris rugosa	above	Tissue	Tissue_above
E3.4.Pac.rugo.1.20150128.T_above	E3	Pachyseris rugosa	above	Tissue	Tissue_above
E3.4.Pac.spec.1.20150128.T_above	E3	Pachyseris speciosa	above	Tissue	Tissue_above
E3.4.Pac.spec.1.20150129.T_above	E3	Pachyseris speciosa	above	Tissue	Tissue_above
E3.5.Gal.astr.1.20150124.T_above	E3	Galaxea astreata	above	Tissue	Tissue_above
E3.5.Gal.astr.2.20150124.T_above	E3	Galaxea astreata	above	Tissue	Tissue_above
E3.6.Acr.hyac.1.20150106.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.1.20150118.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.1.20150121.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.1.20150123.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.2.20150105.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.2.20150106.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.2.20150120.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.2.20150123.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.3.20150105.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.3.20150106.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.3.20150120.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.3.20150121.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.3.20150123.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.4.20150105.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.6.Acr.hyac.4.20150106.T_above	E3	Acropora hyacinthus	above	Tissue	Tissue_above
E3.7.Pav.vari.1.20150124.T_above	E3	Pavona varians	above	Tissue	Tissue_above
E3.7.Pav.vari.1.20150127.T_above	E3	Pavona varians	above	Tissue	Tissue_above
E3.7.Pav.vari.2.20150124.T_above	E3	Pavona varians	above	Tissue	Tissue_above
E7.17.Ech.lame.1.20150620.T_above	E7	Echinopora lamellosa	above	Tissue	Tissue_above
E7.17.Ech.lame.2.20150620.T_above	E7	Echinopora lamellosa	above	Tissue	Tissue_above
E7.17.Ech.lame.3.20150620.T_above	E7	Echinopora lamellosa	above	Tissue	Tissue_above
E7.17.Fav.abdi.1.20150623.T_above	E7	Favites abdita	above	Tissue	Tissue_above
E7.17.Fav.spA.1.20150623.T_above	E7	Dipsastraea sp_A	above	Tissue	Tissue_above
E7.17.Fav.spA.2.20150623.T_above	E7	Dipsastraea sp_A	above	Tissue	Tissue_above
E7.17.Fav.spC.1.20150623.T_above	E7	Dipsastraea sp_C	above	Tissue	Tissue_above
E7.17.Gon.edwa.1.20150623.T_above	E7	Goniastrea edwardsi	above	Tissue	Tissue_above
E7.17.Gon.edwa.2.20150623.T_above	E7	Goniastrea edwardsi	above	Tissue	Tissue_above
E7.17.Hyd.exce.1.20150620.T_above	E7	Hydnophora exesa	above	Tissue	Tissue_above
E7.17.Hyd.exes.1.20150622.T_above	E7	Hydnophora exesa	above	Tissue	Tissue_above
