"id","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"0f5d6d26bc1e142377542aab85d803a1",0,0,0,0,0,0,0,13,0,27,10,5,0,0,0,0,0,0,4,0,0,0,0,0,0,1
"1330d23175ec9ae0c97c463d4d6de0b4",0,0,0,0,0,0,9,1,0,0,0,7,0,3,3,0,1,0,0,0,15,0,8,0,0,0
"d35ecf9ded53bc0ffad9de4243174b4f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"7e8f73858209db88563b500a1940aff3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"bb1c409f0c944883acc5bfaf44dcf73f",0,64,6,3,0,2,4,2,0,0,3,8,5,17,25,2,8,4,0,0,42,0,4,0,0,7
"d2f168c540ac8f5d9b72410357183a1b",18,16,2,0,0,2,0,3,0,0,1,0,0,3,0,3,3,0,0,0,0,11,0,0,0,1
"8cdef05853b21fc17ea17bd7fca88059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"43755879534ef61ac5bff3cd64c1f68f",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"faa11e41a0ba622b845c5452b5d787b4",0,0,2,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,4,0,1,0,0,0
"1fc20804ef7cc4e25e5b2522b5105750",0,0,0,0,5,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"c4bb39720eafee68de6ebbefbc594fd4",0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07b0e59b79b5ed062c60ef8ff50d568b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"d1cb262dc4b24ea9b76378c7dcdf1328",8,0,24,3,0,13,21,30,9,0,8,8,11,13,16,22,15,26,0,46,13,7,2,0,0,33
"fac303ed28e38e60aa1e0a43bc16be80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"c63fa2630233d2425a52976448dca4b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7151dc6b2309746a73f353d883caaddd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"50ed0d5ede66c241b242abb8eb526ef8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"826dc9dfd6d149cf9e123c5103f691ee",0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d90e6f91aa21872da6ececfeaa22d020",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"eb87d6109db08ff83da0bbab094f7b61",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0da10e6beadad004ffb8761918df60c7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fdfe40a818a99469ce800907ce0a86f3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0
"81be5655b7bd322fefb5217d4445b46a",0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"bc0533e754cda40e80893c6bc36cd4b3",0,0,0,0,0,0,2,0,0,0,2,116,50,0,0,0,0,3,0,0,0,0,0,0,0,1
"44208a966ee96e1b98c4b99132b841de",0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"1ea72339be80af17021965fac22bea4c",0,0,5,2,0,0,0,0,0,0,0,2,2,0,7,0,0,0,0,0,8,0,0,0,0,0
"8262171e27807f674cb74871ef27a146",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e2b3a0cb2c175e8e9f00912926912153",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926bbb9221a2a6cc4f7729c0e1a5c9a5",0,12,122,291,0,32,17,53,175,1,14,174,179,130,0,71,191,71,7,0,8,3,12,0,0,22
"19689bce160eddc06cb8ccdbd2b21a90",0,0,1,0,0,1,0,0,0,11,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2
"051ac69fadcada095ace0e706b864310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"8588ee7f361c8378454d88180c22126c",0,0,0,1,0,0,0,0,0,7,0,1,2,1,0,0,0,0,0,0,10,16,0,0,0,0
"1a995a3d3989a15aa24c4da73d292106",0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17e85bf012d31a483b9b1df4baea689f",0,0,6,8,0,2,0,1,3,0,0,24,10,15,5,0,4,2,0,0,9,8,6,0,0,7
"2c25472eaa47c7d008d322efceaabfa9",0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"6f5ab5598b50228635d8506a3b309356",5,2,4,0,0,0,0,0,1,15,0,1,0,2,0,0,1,0,0,4,8,12,4,0,0,1
"91a8590265ebda7ee3267992ca4a07f1",0,0,4,1,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"98399b5fc26b62a722100247808b903e",0,0,0,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0
"80ffa1c59c6e0e031f6ca0a2187ed546",0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"228dee1d6683f48a5962ab49aed5f9c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"514a87e1a1657bce10b7c116a77bd6ce",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"de9cddef745296aa3be0922839f6a4da",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
