"id","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"496cb33b3909e113a1530243f3675381",20,1,4,1,0,5,3
"48abae3dde236a236bd0e1790523b6b4",0,0,0,0,2,0,0
"476b2536fd3b12027a8e64da8ada1301",0,1,0,0,0,0,0
"390a48398d19482afdebe16cc429eba1",0,0,1,0,0,0,0
"1edab50ef70e8cbc8690d9e9fae5533c",0,0,0,0,0,1,0
"c4f0fc455d45c05badc11c48ed093aab",0,0,0,1,5,1,1
"b480a17190b242d2b3a5533ac1cffc86",0,0,0,0,0,0,15
"0e84df1b4f3e8111ade8505f4220df7f",0,0,0,1,0,0,0
"3bcf1f680a2e3341a80cf3a57cd66084",0,0,0,0,1,0,0
"b299fb0d2b1046429e06263b60755da2",0,0,0,0,4,0,0
"6eaaa8d9c20f6fd7939b8b0fda66ea25",0,51,68,14,1,191,92
"2e50c71278ec8b4143503839547fe836",0,0,0,1,0,0,0
"c3d6da9ee71fd161099e337c591c23c4",0,1,0,0,0,0,0
"759966e02082431e7be72cee95c171b0",0,0,0,2,0,0,0
"e1fd10596f20a83e2db01284f3aa51d5",0,0,0,2,17,0,0
"c8f8f8472f775d962e6b6699013cd54e",0,0,0,12,5,0,1
"b45d4704cb94e376bf01c402df9e8e95",0,0,6,17,53,3,0
"ea00656420753d47e725f48a43eeda87",0,0,1,9,2,2,4
"a1f436fba62de1a4341ca2b62269204b",0,0,0,0,0,1,0
"78ce3f1c446541ced83a39a9a1cc94da",0,0,0,0,1,0,0
"b8e084cc3f9fab0add82259908a92ffb",0,0,0,0,0,1,3
"2ef4a59b2841c00bebe9ee324c3d685b",0,0,2,0,0,1,0
"ccdb0da265d241418ea0d114e5d6c513",34,8,72,2,3,21,10
"2a9d7c66cfea4073f4a55fb07239fa25",0,0,3,0,0,0,1
"84d6f52f1ad42f9f288e277523acc9d5",0,0,0,0,0,1,0
"5a5e80621fe31073786cb345afb46fa2",0,0,0,0,0,6,0
"373b840dc0a22e4478782eda0b02f4f6",79,2,2,31,10,4,0
"5818e3da716fb607638a6e069b0960be",0,15,1,1,0,0,0
"e9f4d19365a829b59da41e0f85a2443f",0,0,1,0,0,0,1
"45de17c358f2d0a4d7ece2051a7f9919",0,2,5,3,4,1,2
"54ce2d63a685b7554ab741d1e2dd977a",0,0,0,1,0,0,0
"a2bc0916c5e68a24a051abd0f0fbeda9",0,5,0,0,0,0,23
"724a696c5d51f823a138d11868233a7f",7,0,0,0,0,0,0
"c9308ad3d931738e73256f5a118455c2",0,0,0,0,0,1,0
"4afc79fbc8dbfe68b1266298f50a442c",0,0,1,1,3,0,0
"6b0e0190d2a66495f7e4747ee2529680",0,6,0,0,0,0,0
"7a48c595fbd24e78556a0190cd05f6bf",0,0,0,0,2,0,0
"33a74c5631e584a4df3448b94a72a6d3",0,0,0,0,6,0,0
"fd8981eb99ff6e06c699fd6459ca2c74",0,0,0,7,24,0,0
"3e00421ca57daa1b35ef99401e61aa89",0,0,0,4,0,2,0
"ff57e3dae3fd643b378606810125d87b",0,0,0,7,0,0,0
"b00961bc91c844e5392b8a4a7f86c450",0,0,0,5,1,0,0
"7a3f3debbc15719b50c06f1c66d279d3",0,0,0,0,7,0,0
"656d13059293ebffe31628f50c8dc857",0,0,1,0,0,1,0
"bf277ff5e616538eb440deeeee0a0ee5",0,0,0,0,0,4,0
"bd5600db5b7fa25035c8d52935d7ea42",0,8,5,20,9,1,0
"093579d16b08d9aab123e6455d2a7f99",0,13,2,1,1,4,11
"ae210fe09b559ea0e654128e6954d256",0,0,0,0,1,1,1
"95482fd649cc8a2ce4e041491a64c74e",0,0,0,1,0,1,0
"bcec975b520c85428c4b50ee19a812a7",26,17,17,20,8,18,9
"95f0e037ece85f5b92168bdba716f085",0,0,0,1,0,0,0
"0adb964c97b81c0ebe47d465c78a9029",0,0,0,0,0,0,10
"b17d6da7eb4d98e8872b6fd0ee6a6fab",0,0,0,11,0,0,0
"e997878eede071560db7e10a82fce0a8",0,8,4,4,13,4,2
"f8d759b6dd2574dbe5af6ef8b5d7b18b",0,4,0,3,1,7,18
"60cec07c0080897c788477a00e03bbc2",0,7,0,0,0,0,0
"f57925c095883b33428038d234c29f7d",27,9,1,0,1,0,0
"a752648d088586b264060a4f5353deab",0,0,0,0,0,1,1
"3392a4e94310097c0f858816c8b9e3de",0,0,0,0,0,0,8
"742d2f742392cebf90b46229acfd83ee",0,0,0,0,0,3,0
"7b1b52fc213b85229b49edd23a8417f7",0,0,0,0,0,13,2
"81f21b21ea54fb689d5836c896d042d5",0,0,1,0,0,0,0
"cc5283e589c9f76511a8c4877df81474",0,0,0,8,0,0,1
"aab5b4e49702eb27f9a4590596fc3eb9",24,22,0,15,5,5,2
"dd742b427d6b1101de8957d16db3da02",35,6,10,11,2,13,4
"76172793a7fffaef40770d493d076dbd",0,3,0,0,0,0,0
"dbf23f3ffb834b87cac1d4e5f38b8e9e",0,0,0,1,0,0,0
"59428e6f2f8a3d85b4d64c3133b706a4",0,0,1,4,0,7,1
"cef78f961c1c76590418c68b440ab69f",0,3,0,0,0,1,0
"3fc06de4efda464f3a6c68cdc2aacef7",0,0,1,0,0,3,0
"421473f05b8a498cad0cda85036ea3a0",30,29,20,8,0,30,12
"c4f3945b334df3caf5cacfdaeef22cca",0,0,13,0,1,0,0
"7680d4f32a32a489833bfc6a083dc88d",0,2,5,4,0,0,0
"750485c723d84b21128fd7ee9918a07d",0,0,0,0,0,1,0
"8df46f4185c0d51134c7f0327b0a643d",0,0,0,4,12,0,0
"558b978c64de3aa24b36885b4c69a472",0,0,0,2,8,0,0
"b8bdd5b9abe8085cd195e44f6e604981",0,0,0,0,4,0,0
"23b2a8fed2779efb182162d0fb697e5b",0,0,0,0,3,0,0
"a1c01127714974ef9c5a7c263840cf65",0,0,0,0,1,0,0
"dcdac7aba33f5162b4715f7f5517a7be",0,4,0,0,0,0,0
"0f790c3f7e01c7294e38f76955581337",2,0,0,0,0,0,0
"15584db848d13c762a7e6f3099bbbff3",3,0,0,0,0,0,0
