"taxon","Class","Order","Family","model","Kingdom","Phylum","Genus","Species"
"1dad9f42a4a6c0b45569516becc2cab0","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","above","d__Bacteria","Proteobacteria",NA,NA
"7b33c61b9ec519809645104a8ff7e70e","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","above","d__Bacteria","Fusobacteriota",NA,NA
"dcda1d7b6fa38d7464f4aa3e431b43b1","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","above","d__Archaea","Crenarchaeota",NA,NA
"28224521a0a017b966a064482d0dea96","Planctomycetes","Pirellulales","Pirellulaceae","above","d__Bacteria","Planctomycetota",NA,NA
"032b66e64ba19eac8df7248aa1be6e1f","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","above","d__Bacteria","Proteobacteria",NA,NA
"a737435d47fbe987d223f893f79d5ba5","Spirochaetia","Spirochaetales","Spirochaetaceae","neutral","d__Bacteria","Spirochaetota",NA,NA
"e175f322c5e5cb14092d58f2a3932546","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","above","d__Bacteria","Verrucomicrobiota",NA,NA
"b67608e830326b797364fb959cbe6bef","Verrucomicrobiae","Opitutales","Puniceicoccaceae","above","d__Bacteria","Verrucomicrobiota",NA,NA
"bf22e3a13337a3ad5e2ec2a5ab2dc84e","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"679442698c4cb805f8d6621b27edde63","Bacteroidia","Chitinophagales","Saprospiraceae","above","d__Bacteria","Bacteroidota",NA,NA
"1f7e584603a8b3b91975f6f39421b113","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","above","d__Bacteria","Proteobacteria",NA,NA
"93e7a79b5a50a6b6de74897a29b68f12","Bacilli","Bacillales","Bacillaceae","neutral","d__Bacteria","Firmicutes",NA,NA
"b9acde39e8f44e4fdb498d2d0aa0ffcd","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","above","d__Bacteria","Marinimicrobia_(SAR406_clade)",NA,NA
"2603255fc7ca0437d0e03a655316db2f","Actinobacteria","Micrococcales","Micrococcaceae","neutral","d__Bacteria","Actinobacteriota",NA,NA
"fb9718a34c841a3861ff9f58b233aa22","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","SAR324_clade(Marine_group_B)","above","d__Bacteria","SAR324_clade(Marine_group_B)",NA,NA
"0b0ecf946414d301f203a1d04971ad4e","Thermoplasmata","Marine_Group_II","Marine_Group_II","above","d__Archaea","Thermoplasmatota",NA,NA
"b2195b313fabc9b223fb053359558f25","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","above","d__Bacteria","Proteobacteria",NA,NA
"371ff3f6af66ba2c07137267c7948686","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","below","d__Bacteria","Proteobacteria",NA,NA
"09d21bfe1332afd48aea1cf7bbcc4dee","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"0d06999ee50ab0abad026a088f8a84b8","Bacteroidia","Flavobacteriales","NS9_marine_group","above","d__Bacteria","Bacteroidota",NA,NA
