"sample_names"	"function."	"taxon"	"taxon_abun"	"taxon_rel_abun"	"genome_function_count"	"taxon_function_abun"	"taxon_rel_function_abun"	"Class"	"Order"	"Family"	"model"	"Kingdom"	"Phylum"	"Genus"	"Species"
"46"	"1256-001-Control"	"K00174"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"47"	"1256-001-Control"	"K00175"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"48"	"1256-001-Control"	"K00208"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"49"	"1256-001-Control"	"K00215"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"50"	"1256-001-Control"	"K00231"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"51"	"1256-001-Control"	"K00239"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"52"	"1256-001-Control"	"K00240"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"53"	"1256-001-Control"	"K00241"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"54"	"1256-001-Control"	"K00243"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"55"	"1256-001-Control"	"K00252"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"56"	"1256-001-Control"	"K00259"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"57"	"1256-001-Control"	"K00260"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	2	182	3.05053836973866	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"58"	"1256-001-Control"	"K00263"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"59"	"1256-001-Control"	"K00265"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"60"	"1256-001-Control"	"K00266"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"61"	"1256-001-Control"	"K00278"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
"62"	"1256-001-Control"	"K00282"	"4e4c5cd13eb19d445bd2ee4bd71a7053"	91	1.52526918486933	1	91	1.52526918486933	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"neutral"	"d__Bacteria"	"Firmicutes"	NA	NA
